domain,speech_complexity,llm,provider,num_tasks,max_steps,folder,folder_path,avg_reward,avg_agent_cost,total_simulations,total_tasks,infra_error_count,pass_hat_1,pass_hat_1_std
airline,regular,gemini:gemini-live-2.5-flash-native-audio,gemini,50,3000,airline_regular_gemini_gemini-live-2.5-flash-native-audio,data/exp/tau_voice_new_lite/voice/airline_regular_gemini_gemini-live-2.5-flash-native-audio,0.3,,50,50,0,0.3,0.4629100498862757
retail,control_audio,xai:xai-realtime,xai,114,3000,retail_control_audio_xai_xai-realtime,data/exp/tau_voice_new_lite/voice/retail_control_audio_xai_xai-realtime,0.4473684210526316,,114,114,0,0.4473684210526316,0.49941745290716594
telecom,regular,openai:gpt-realtime-1.5,openai,114,3000,telecom_regular_openai_gpt-realtime-1.5,data/exp/tau_voice_new_lite/voice/telecom_regular_openai_gpt-realtime-1.5,0.21052631578947367,,114,114,0,0.21052631578947367,0.40948238879709964
telecom,control,openai:gpt-realtime-1.5,openai,114,3000,telecom_control_openai_gpt-realtime-1.5,data/exp/tau_voice_new_lite/voice/telecom_control_openai_gpt-realtime-1.5,0.2807017543859649,,114,114,0,0.2807017543859649,0.451325911514035
telecom,control,gemini:gemini-live-2.5-flash-native-audio,gemini,114,3000,telecom_control_gemini_gemini-live-2.5-flash-native-audio,data/exp/tau_voice_new_lite/voice/telecom_control_gemini_gemini-live-2.5-flash-native-audio,0.20175438596491227,,114,114,0,0.20175438596491227,0.4030815934749342
retail,control_audio,gemini:gemini-live-2.5-flash-native-audio,gemini,114,3000,retail_control_audio_gemini_gemini-live-2.5-flash-native-audio,data/exp/tau_voice_new_lite/voice/retail_control_audio_gemini_gemini-live-2.5-flash-native-audio,0.3508771929824561,,114,114,0,0.3508771929824561,0.4793516295841408
airline,control,xai:xai-realtime,xai,50,3000,airline_control_xai_xai-realtime,data/exp/tau_voice_new_lite/voice/airline_control_xai_xai-realtime,0.46,,50,50,0,0.46,0.5034574339058886
airline,regular,openai:gpt-realtime-1.5,openai,50,3000,airline_regular_openai_gpt-realtime-1.5,data/exp/tau_voice_new_lite/voice/airline_regular_openai_gpt-realtime-1.5,0.4,,50,50,0,0.4,0.49487165930539356
airline,regular,xai:xai-realtime,xai,50,3000,airline_regular_xai_xai-realtime,data/exp/tau_voice_new_lite/voice/airline_regular_xai_xai-realtime,0.36,,50,50,0,0.36,0.48487322138506117
retail,control,gemini:gemini-live-2.5-flash-native-audio,gemini,114,3000,retail_control_gemini_gemini-live-2.5-flash-native-audio,data/exp/tau_voice_new_lite/voice/retail_control_gemini_gemini-live-2.5-flash-native-audio,0.38596491228070173,,114,114,0,0.38596491228070173,0.4889716847553344
airline,control,openai:gpt-realtime-1.5,openai,50,3000,airline_control_openai_gpt-realtime-1.5,data/exp/tau_voice_new_lite/voice/airline_control_openai_gpt-realtime-1.5,0.48,,50,50,0,0.48,0.5046720495044483
retail,control_accents,xai:xai-realtime,xai,114,3000,retail_control_accents_xai_xai-realtime,data/exp/tau_voice_new_lite/voice/retail_control_accents_xai_xai-realtime,0.2894736842105263,,114,114,0,0.2894736842105263,0.45552040084340517
retail,regular,openai:gpt-realtime-1.5,openai,114,3000,retail_regular_openai_gpt-realtime-1.5,data/exp/tau_voice_new_lite/voice/retail_regular_openai_gpt-realtime-1.5,0.43859649122807015,,114,114,0,0.43859649122807015,0.49840609165616045
retail,control,xai:xai-realtime,xai,114,3000,retail_control_xai_xai-realtime,data/exp/tau_voice_new_lite/voice/retail_control_xai_xai-realtime,0.4824561403508772,,114,114,0,0.4824561403508772,0.5018982751417672
retail,control_audio,openai:gpt-realtime-1.5,openai,114,3000,retail_control_audio_openai_gpt-realtime-1.5,data/exp/tau_voice_new_lite/voice/retail_control_audio_openai_gpt-realtime-1.5,0.6491228070175439,,114,114,0,0.6491228070175439,0.4793516295841408
retail,control_accents,openai:gpt-realtime-1.5,openai,114,3000,retail_control_accents_openai_gpt-realtime-1.5,data/exp/tau_voice_new_lite/voice/retail_control_accents_openai_gpt-realtime-1.5,0.5877192982456141,,114,114,0,0.5877192982456141,0.49441846610364576
retail,regular,gemini:gemini-live-2.5-flash-native-audio,gemini,114,3000,retail_regular_gemini_gemini-live-2.5-flash-native-audio,data/exp/tau_voice_new_lite/voice/retail_regular_gemini_gemini-live-2.5-flash-native-audio,0.2807017543859649,,114,114,0,0.2807017543859649,0.451325911514035
retail,control_behavior,xai:xai-realtime,xai,114,3000,retail_control_behavior_xai_xai-realtime,data/exp/tau_voice_new_lite/voice/retail_control_behavior_xai_xai-realtime,0.5087719298245614,,114,114,0,0.5087719298245614,0.5021302238294051
retail,control,openai:gpt-realtime-1.5,openai,114,3000,retail_control_openai_gpt-realtime-1.5,data/exp/tau_voice_new_lite/voice/retail_control_openai_gpt-realtime-1.5,0.6929824561403509,,114,114,0,0.6929824561403509,0.4632931941657309
telecom,control,xai:xai-realtime,xai,114,3000,telecom_control_xai_xai-realtime,data/exp/tau_voice_new_lite/voice/telecom_control_xai_xai-realtime,0.5789473684210527,,114,114,0,0.5789473684210527,0.4959077997752902
retail,control_behavior,openai:gpt-realtime-1.5,openai,114,3000,retail_control_behavior_openai_gpt-realtime-1.5,data/exp/tau_voice_new_lite/voice/retail_control_behavior_openai_gpt-realtime-1.5,0.5614035087719298,,114,114,0,0.5614035087719298,0.49840609165616045
retail,control_accents,gemini:gemini-live-2.5-flash-native-audio,gemini,114,3000,retail_control_accents_gemini_gemini-live-2.5-flash-native-audio,data/exp/tau_voice_new_lite/voice/retail_control_accents_gemini_gemini-live-2.5-flash-native-audio,0.45614035087719296,,114,114,0,0.45614035087719296,0.5002716231623263
telecom,regular,gemini:gemini-live-2.5-flash-native-audio,gemini,114,3000,telecom_regular_gemini_gemini-live-2.5-flash-native-audio,data/exp/tau_voice_new_lite/voice/telecom_regular_gemini_gemini-live-2.5-flash-native-audio,0.15789473684210525,,114,114,0,0.15789473684210525,0.3662521827757252
retail,control_behavior,gemini:gemini-live-2.5-flash-native-audio,gemini,114,3000,retail_control_behavior_gemini_gemini-live-2.5-flash-native-audio,data/exp/tau_voice_new_lite/voice/retail_control_behavior_gemini_gemini-live-2.5-flash-native-audio,0.41228070175438597,,114,114,0,0.41228070175438597,0.4944184661036458
telecom,regular,xai:xai-realtime,xai,114,3000,telecom_regular_xai_xai-realtime,data/exp/tau_voice_new_lite/voice/telecom_regular_xai_xai-realtime,0.40350877192982454,,114,114,0,0.40350877192982454,0.4927671234726092
retail,regular,xai:xai-realtime,xai,114,3000,retail_regular_xai_xai-realtime,data/exp/tau_voice_new_lite/voice/retail_regular_xai_xai-realtime,0.3684210526315789,,114,114,0,0.3684210526315789,0.4845060963795715
airline,control,gemini:gemini-live-2.5-flash-native-audio,gemini,50,3000,airline_control_gemini_gemini-live-2.5-flash-native-audio,data/exp/tau_voice_new_lite/voice/airline_control_gemini_gemini-live-2.5-flash-native-audio,0.28,,50,50,0,0.28,0.4535573676110727
