error_message,count
Error: User not found,1635
Error: Tool 'check_network_status' not found.,224
Error: Tool 'set_network_mode_preference' not found.,209
Error: Tool 'can_send_mms' not found.,142
Error: Tool 'run_speed_test' not found.,142
Error: Tool 'toggle_airplane_mode' not found.,126
Error: Tool 'check_status_bar' not found.,125
Error: Tool 'reset_apn_settings' not found.,123
Error: Tool 'check_sim_status' not found.,108
Error: Tool 'reseat_sim_card' not found.,108
Error: Tool 'toggle_data' not found.,103
Error: Order not found,98
Error: Tool 'check_apn_settings' not found.,93
Error: Payment method should be the original payment method,85
Error: Non-delivered order cannot be exchanged,78
Error: Tool 'check_network_mode_preference' not found.,54
Error: Non-delivered order cannot be returned,47
Error: Tool 'check_app_permissions' not found.,47
Error: Variant not found,42
Error: The number of items to be exchanged should match,38
Error: Tool 'check_wifi_calling_status' not found.,34
Error: Item not found,34
Error: Non-pending order cannot be modified,33
Error: Tool 'toggle_data_saver_mode' not found.,32
Error: Customer with phone number 555-123-0002 not found,28
Error: Tool 'reboot_device' not found.,26
Error: The new item id should be different from the old item id,26
Error: Customer with phone number 555-123 not found,23
Error: Tool 'check_data_restriction_status' not found.,22
Error: Non-pending order cannot be cancelled,20
Error: Customer with phone number +1-555-123-2002 not found,20
Error: Customer with phone number 5551232002 not found,19
Error: Tool 'toggle_wifi_calling' not found.,19
Error: Product not found,18
Error: User arav_garcia_1177 not found,17
Error: New item 3111466194 not found or available,15
Error: Insufficient gift card balance to pay for the price difference,15
Error: User Sophia_Silva_7557 not found,15
Error: Tool 'disconnect_vpn' not found.,14
Error: Customer with phone number unknown not found,14
Error: User arav_ahmed_6699 not found,14
Error: 1355937109 not found,13
Error: User sofia_silva_7557 not found,12
"Error: RetailTools.find_user_id_by_name_zip() missing 3 required positional arguments: 'first_name', 'last_name', and 'zip'",12
"Error: 2 validation errors for FlightInfo
flight_number
  Field required [type=missing, input_value={'""date""': '2024-05-13', ...ight_number""': 'HAT030'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
date
  Field required [type=missing, input_value={'""date""': '2024-05-13', ...ight_number""': 'HAT030'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",11
Error: Tool 'make_payment' not found.,10
Error: Customer with phone number +15551232002 not found,10
Error: Customer with phone number 555-123-002 not found,10
"Error: 2 validation errors for FlightInfo
flight_number
  Field required [type=missing, input_value={'""date""': '2024-05-24', ...ight_number""': 'HAT190'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
date
  Field required [type=missing, input_value={'""date""': '2024-05-24', ...ight_number""': 'HAT190'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",10
"Error: 1 validation error for FlightInfo
date
  Field required [type=missing, input_value={'""date""': '2024-05-25', ...light_number': 'HAT056'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",10
Error: User Amelia_Davis_8890 not found,10
Error: User noah_mueller_9847 not found,9
Error: New item 3788616824 not found or available,9
Error: Reservation XEHN4B not found,9
Error: Customer with phone number 5555-123-2002 not found,9
Error: Tool 'grant_app_permission' not found.,9
