llm,domain,speech_complexity,provider,total_speech_events,detected_count,missed_count,detection_rate,latency_mean_sec,latency_std_sec,latency_min_sec,latency_max_sec,latency_median_sec,latency_p95_sec
gemini:gemini-live-2.5-flash-native-audio,telecom,control,gemini,1213,0,1213,0.0,,,,,,
openai:gpt-realtime-1.5,telecom,control,openai,1556,1529,27,0.9826478149100257,0.42877697841726625,0.1266095663719176,0.2,4.0,0.4,0.6000000000000001
openai:gpt-realtime-2025-08-28,telecom,regular,openai,2271,2213,58,0.9744605900484368,0.4295526434704021,0.20661227799039783,0.0,5.0,0.4,0.6000000000000001
openai:gpt-realtime-2025-08-28,retail,control_audio,openai,915,799,116,0.8732240437158469,0.43504380475594495,0.19536859792756459,0.0,3.8000000000000003,0.4,0.6000000000000001
openai:gpt-realtime-1.5,retail,control_accents,openai,1050,938,112,0.8933333333333333,0.43646055437100223,0.1003358769180672,0.2,1.0,0.4,0.6000000000000001
openai:gpt-realtime-1.5,retail,control,openai,1071,960,111,0.896358543417367,0.42333333333333345,0.08090554575570519,0.2,1.2000000000000002,0.4,0.6000000000000001
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,gemini,1512,0,1512,0.0,,,,,,
openai:gpt-realtime-1.5,airline,control,openai,411,367,44,0.8929440389294404,0.41689373297002724,0.06964505748188653,0.2,1.0,0.4,0.6000000000000001
openai:gpt-realtime-2025-08-28,retail,control_accents,openai,907,811,96,0.8941565600882029,0.4246609124537608,0.10028836048144019,0.2,1.4000000000000001,0.4,0.6000000000000001
openai:gpt-realtime-2025-08-28,retail,control,openai,885,783,102,0.8847457627118644,0.4217113665389528,0.09482051134599176,0.2,1.4000000000000001,0.4,0.6000000000000001
openai:gpt-realtime-2025-08-28,airline,control,openai,378,341,37,0.9021164021164021,0.41348973607038125,0.06983061889685908,0.2,1.0,0.4,0.6000000000000001
xai:xai-realtime,telecom,regular,xai,4364,3829,535,0.8774060494958753,1.30582397492818,0.7774916338388604,0.0,5.0,1.0,3.0
xai:xai-realtime,retail,regular,xai,3489,2825,664,0.8096875895672112,1.3501592920353984,0.8762895047567371,0.0,5.0,1.0,3.4000000000000004
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,gemini,1371,0,1371,0.0,,,,,,
xai:xai-realtime,airline,regular,xai,1375,1170,205,0.850909090909091,1.2776068376068375,0.8435906896245948,0.0,5.0,1.0,3.0
openai:gpt-realtime-1.5,airline,regular,openai,790,731,59,0.9253164556962026,0.4303693570451437,0.23689139836930947,0.0,4.4,0.4,0.6000000000000001
gemini:gemini-live-2.5-flash-native-audio,airline,control,gemini,449,0,449,0.0,,,,,,
openai:gpt-realtime-1.5,telecom,regular,openai,2637,2578,59,0.9776260902540767,0.43095422808378586,0.18025318781822336,0.0,4.4,0.4,0.6000000000000001
openai:gpt-realtime-1.5,retail,regular,openai,1679,1556,123,0.9267421083978559,0.44511568123393325,0.2519542641819569,0.0,4.6000000000000005,0.4,0.6000000000000001
openai:gpt-realtime-2025-08-28,retail,regular,openai,1347,1235,112,0.9168522642910171,0.4369230769230769,0.2628794358746227,0.0,5.0,0.4,0.6000000000000001
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,gemini,1248,0,1248,0.0,,,,,,
gemini:gemini-live-2.5-flash-native-audio,retail,control,gemini,1102,0,1102,0.0,,,,,,
openai:gpt-realtime-2025-08-28,airline,regular,openai,586,542,44,0.9249146757679181,0.4354243542435424,0.24906424650723033,0.0,4.0,0.4,0.6000000000000001
xai:xai-realtime,retail,control_behavior,xai,2064,1689,375,0.8183139534883721,1.1767910005920665,0.60014325265759,0.0,5.0,1.0,2.2
openai:gpt-realtime-1.5,retail,control_behavior,openai,1817,1702,115,0.9367088607594937,0.42890716803760287,0.09232055487044731,0.0,1.2000000000000002,0.4,0.6000000000000001
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,589,0,589,0.0,,,,,,
openai:gpt-realtime-2025-08-28,telecom,control,openai,1540,1519,21,0.9863636363636363,0.4231731402238315,0.07912692836973188,0.2,1.2000000000000002,0.4,0.6000000000000001
xai:xai-realtime,retail,control_audio,xai,1838,1505,333,0.8188248095756256,0.9080398671096347,0.28414756524575174,0.4,4.2,0.8,1.4000000000000001
openai:gpt-realtime-2025-08-28,retail,control_behavior,openai,1166,1051,115,0.9013722126929674,0.42017126546146527,0.10388807701063928,0.0,2.4000000000000004,0.4,0.6000000000000001
gemini:gemini-live-2.5-flash-native-audio,retail,regular,gemini,1578,0,1578,0.0,,,,,,
xai:xai-realtime,telecom,control,xai,2126,2050,76,0.9642521166509878,0.8977560975609756,0.25786759104028883,0.6000000000000001,4.0,0.8,1.4000000000000001
xai:xai-realtime,retail,control,xai,1529,1236,293,0.8083714846304775,0.867799352750809,0.24272143650792655,0.4,3.2,0.8,1.2500000000000002
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,gemini,1262,0,1262,0.0,,,,,,
openai:gpt-realtime-1.5,retail,control_audio,openai,1081,951,130,0.879740980573543,0.4233438485804417,0.12380700839576765,0.0,2.2,0.4,0.6000000000000001
xai:xai-realtime,retail,control_accents,xai,2035,1746,289,0.8579852579852579,1.2398625429553265,0.7606759047699608,0.4,5.0,1.0,3.0
xai:xai-realtime,airline,control,xai,461,412,49,0.8937093275488069,0.8708737864077671,0.26180398602210736,0.4,3.2,0.8,1.2000000000000002
