llm,domain,speech_complexity,provider,user_interrupts_count,user_interrupts_agent_yielded,user_interrupts_agent_no_yield,user_interrupts_yield_rate,user_interrupts_yield_time_mean,user_interrupts_yield_time_std,backchannel_count,backchannel_agent_continued,backchannel_agent_stopped,backchannel_correct_rate,vocal_tic_count,vocal_tic_agent_continued,vocal_tic_agent_stopped,vocal_tic_correct_rate,non_directed_count,non_directed_agent_continued,non_directed_agent_stopped,non_directed_correct_rate,agent_responds_vocal_tic_count,agent_responds_non_directed_count,vocal_tic_silent_total,vocal_tic_silent_correct,vocal_tic_silent_incorrect,vocal_tic_silent_correct_rate,non_directed_silent_total,non_directed_silent_correct,non_directed_silent_incorrect,non_directed_silent_correct_rate,agent_interrupts_count,agent_interrupts_user_yielded,agent_interrupts_user_no_yield,agent_interrupts_yield_rate,agent_interrupts_yield_time_mean,agent_interrupts_yield_time_std
gemini:gemini-live-2.5-flash-native-audio,airline,control,gemini,1,1,0,1.0,0.6000000000000001,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,24,12,12,0.5,0.9,0.4631905164675272
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,131,75,56,0.5725190839694656,0.7253333333333335,0.45055321350335314,9,8,1,0.8888888888888888,7,6,1,0.8571428571428571,0,0,0,,16,0,20,4,16,0.2,0,0,0,,88,55,33,0.625,0.9236363636363636,0.2841254524453463
gemini:gemini-live-2.5-flash-native-audio,retail,control,gemini,1,1,0,1.0,0.6000000000000001,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,76,46,30,0.6052631578947368,1.047826086956522,0.3845569632330359
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,gemini,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,89,44,45,0.4943820224719101,1.0681818181818181,0.426872197677602
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,gemini,1,1,0,1.0,0.6000000000000001,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,102,79,23,0.7745098039215687,1.0329113924050632,0.32883692435197587
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,gemini,287,178,109,0.6202090592334495,0.8247191011235956,0.4901932972538831,66,43,23,0.6515151515151515,21,9,12,0.42857142857142855,0,0,0,,51,0,60,9,51,0.15,0,0,0,,70,36,34,0.5142857142857142,1.0666666666666667,0.427617987059879
gemini:gemini-live-2.5-flash-native-audio,retail,regular,gemini,248,126,122,0.5080645161290323,0.7682539682539683,0.47356533549672636,34,26,8,0.7647058823529411,14,7,7,0.5,0,0,0,,56,0,73,17,56,0.2328767123287671,0,0,0,,245,175,70,0.7142857142857143,0.9691428571428573,0.2673128459978457
gemini:gemini-live-2.5-flash-native-audio,telecom,control,gemini,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,116,76,40,0.6551724137931034,0.8315789473684212,0.391989974809149
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,gemini,218,110,108,0.5045871559633027,0.7890909090909093,0.44748952210488835,2,2,0,1.0,18,15,3,0.8333333333333334,0,0,0,,84,0,99,15,84,0.15151515151515152,0,0,0,,337,229,108,0.6795252225519288,0.9790393013100436,0.4007634635440092
openai:gpt-realtime-1.5,airline,control,openai,4,4,0,1.0,0.4,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,4,4,0,1.0,1.1500000000000001,0.30000000000000004
openai:gpt-realtime-1.5,airline,regular,openai,492,492,0,1.0,0.417479674796748,0.08991594623008797,43,1,42,0.023255813953488372,47,0,47,0.0,0,0,0,,9,0,10,1,9,0.1,0,0,0,,98,29,69,0.29591836734693877,1.2137931034482756,0.3377701436639108
openai:gpt-realtime-1.5,retail,control,openai,5,5,0,1.0,0.4,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,8,5,3,0.625,1.28,0.3898717737923586
openai:gpt-realtime-1.5,retail,control_accents,openai,3,3,0,1.0,0.4000000000000001,6.798699777552591e-17,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,16,4,12,0.25,1.0,0.43204937989385733
openai:gpt-realtime-1.5,retail,control_audio,openai,98,98,0,1.0,0.39591836734693875,0.09515951593821621,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,104,37,67,0.3557692307692308,1.2162162162162162,0.4092768103710587
openai:gpt-realtime-1.5,retail,control_behavior,openai,1125,1125,0,1.0,0.4300444444444444,0.08800122217778854,109,7,102,0.06422018348623854,78,1,77,0.01282051282051282,0,0,0,,32,0,34,2,32,0.058823529411764705,0,0,0,,148,73,75,0.49324324324324326,1.2136986301369863,0.4375801731280384
openai:gpt-realtime-1.5,retail,regular,openai,1001,1001,0,1.0,0.4255744255744257,0.10269028535014746,90,3,87,0.03333333333333333,77,1,76,0.012987012987012988,0,0,0,,28,0,35,7,28,0.2,0,0,0,,213,76,137,0.3568075117370892,1.1263157894736844,0.39845314941747134
openai:gpt-realtime-1.5,telecom,control,openai,1,1,0,1.0,0.6000000000000001,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,16,12,4,0.75,1.0000000000000002,0.29541957835039856
openai:gpt-realtime-1.5,telecom,regular,openai,1678,1676,2,0.99880810488677,0.4145584725536994,0.07743952197679087,32,0,32,0.0,142,0,142,0.0,0,0,0,,53,0,55,2,53,0.03636363636363636,0,0,0,,294,78,216,0.2653061224489796,1.0564102564102562,0.3839608149615107
xai:xai-realtime,airline,control,xai,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,223,148,75,0.6636771300448431,1.0756756756756756,0.3961758734067591
xai:xai-realtime,airline,regular,xai,863,666,197,0.7717265353418308,1.1243243243243242,0.3395395952769294,11,10,1,0.9090909090909091,66,54,12,0.8181818181818182,0,0,0,,26,0,33,7,26,0.21212121212121213,0,0,0,,713,511,202,0.7166900420757363,0.9972602739726028,0.2876414038741118
xai:xai-realtime,retail,control,xai,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,376,257,119,0.6835106382978723,0.9852140077821013,0.3971766237179821
xai:xai-realtime,retail,control_accents,xai,1,0,1,0.0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,972,954,18,0.9814814814814815,0.9566037735849056,0.15844004836509606
xai:xai-realtime,retail,control_audio,xai,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,354,348,6,0.9830508474576272,0.9201149425287357,0.19782094924581525
xai:xai-realtime,retail,control_behavior,xai,934,796,138,0.8522483940042827,1.2125628140703517,0.363135146211723,85,83,2,0.9764705882352941,56,51,5,0.9107142857142857,0,0,0,,57,0,71,14,57,0.19718309859154928,0,0,0,,406,403,3,0.9926108374384236,0.913151364764268,0.2094787285817639
xai:xai-realtime,retail,regular,xai,2047,1437,610,0.7020029311187103,1.1759220598469033,0.35405225137911156,61,57,4,0.9344262295081968,144,125,19,0.8680555555555556,0,0,0,,63,0,77,14,63,0.18181818181818182,0,0,0,,1605,1221,384,0.7607476635514019,0.9726453726453728,0.2864227579427034
xai:xai-realtime,telecom,control,xai,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,,759,419,340,0.5520421607378129,0.9264916467780431,0.44219965267375955
xai:xai-realtime,telecom,regular,xai,2541,1988,553,0.7823691460055097,1.1585513078470824,0.3534748262983846,17,16,1,0.9411764705882353,189,150,39,0.7936507936507936,0,0,0,,93,0,105,12,93,0.11428571428571428,0,0,0,,2760,1733,1027,0.6278985507246376,1.005654933641085,0.3522810702464637
