domain,provider,model,text_sota,text_nonthinking,control,control_delta,control_delta_rel,regular,regular_delta,regular_delta_rel
All,Google,Gemini 2.5 Flash,0.8466666666666667,0.5433333333333333,0.3067836257309941,-0.5398830409356725,-0.6376571349633927,0.25204678362573096,-0.5946198830409357,-0.7023069484735461
All,OpenAI,GPT Realtime 1.5,0.8466666666666667,0.5433333333333333,0.48456140350877197,-0.3621052631578947,-0.4276833816825528,0.34970760233918124,-0.49695906432748543,-0.5869595247962426
All,xAI,xAI Realtime,0.8466666666666667,0.5433333333333333,0.5071345029239765,-0.33953216374269013,-0.4010222406409726,0.37730994152046776,-0.4693567251461989,-0.5543583367868491
retail,Google,Gemini 2.5 Flash,0.81,0.76,0.4385964912280701,-0.37140350877192996,-0.458522850335716,0.2982456140350877,-0.5117543859649123,-0.6317955382282867
retail,OpenAI,GPT Realtime 1.5,0.81,0.76,0.6929824561403509,-0.11701754385964913,-0.14446610353043102,0.4385964912280701,-0.37140350877192996,-0.458522850335716
retail,xAI,xAI Realtime,0.81,0.76,0.4824561403508772,-0.32754385964912286,-0.40437513536928743,0.3684210526315789,-0.4415789473684211,-0.5451591942820013
airline,Google,Gemini 2.5 Flash,0.83,0.53,0.28,-0.5499999999999999,-0.6626506024096385,0.3,-0.53,-0.6385542168674699
airline,OpenAI,GPT Realtime 1.5,0.83,0.53,0.48,-0.35,-0.4216867469879518,0.4,-0.42999999999999994,-0.5180722891566265
airline,xAI,xAI Realtime,0.83,0.53,0.46,-0.36999999999999994,-0.4457831325301204,0.36,-0.47,-0.5662650602409639
telecom,Google,Gemini 2.5 Flash,0.9,0.34,0.2017543859649122,-0.6982456140350879,-0.7758284600389865,0.1578947368421052,-0.7421052631578948,-0.824561403508772
telecom,OpenAI,GPT Realtime 1.5,0.9,0.34,0.2807017543859649,-0.6192982456140351,-0.6881091617933723,0.2105263157894736,-0.6894736842105265,-0.7660818713450294
telecom,xAI,xAI Realtime,0.9,0.34,0.5789473684210527,-0.32105263157894737,-0.3567251461988304,0.4035087719298245,-0.49649122807017554,-0.5516569200779728
