llm,domain,speech_complexity,num_simulations,mean_agent_calls,std_agent_calls,mean_calls_success,mean_calls_failed,total_calls_success,total_calls_failed,tool_success_rate
gemini:gemini-live-2.5-flash-native-audio,airline,control,50,26.34,143.05,24.64,1.7,1232,85,0.9355
gemini:gemini-live-2.5-flash-native-audio,airline,regular,50,9.42,27.83,8.06,1.36,403,68,0.8556
gemini:gemini-live-2.5-flash-native-audio,retail,control,114,7.24,4.22,6.01,1.23,685,140,0.8303
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,114,7.44,3.47,6.27,1.17,715,133,0.8432
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,114,7.29,4.93,5.82,1.46,664,167,0.799
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,114,8.99,14.46,7.77,1.22,886,139,0.8644
gemini:gemini-live-2.5-flash-native-audio,retail,regular,114,6.43,4.11,4.91,1.52,560,173,0.764
gemini:gemini-live-2.5-flash-native-audio,telecom,control,114,5.48,2.47,2.14,3.34,244,381,0.3904
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,114,5.08,2.81,1.83,3.25,209,370,0.361
openai:gpt-realtime-1.5,airline,control,50,6.82,4.19,6.46,0.36,323,18,0.9472
openai:gpt-realtime-1.5,airline,regular,50,6.68,4.11,5.52,1.16,276,58,0.8263
openai:gpt-realtime-1.5,retail,control,114,7.28,2.76,6.92,0.36,789,41,0.9506
openai:gpt-realtime-1.5,retail,control_accents,114,6.54,2.92,6.09,0.45,694,51,0.9315
openai:gpt-realtime-1.5,retail,control_audio,114,7.03,2.89,6.57,0.46,749,52,0.9351
openai:gpt-realtime-1.5,retail,control_behavior,114,6.66,2.55,6.22,0.44,709,50,0.9341
openai:gpt-realtime-1.5,retail,regular,114,6.1,3.22,5.35,0.75,610,85,0.8777
openai:gpt-realtime-1.5,telecom,control,114,3.23,2.24,2.97,0.25,339,29,0.9212
openai:gpt-realtime-1.5,telecom,regular,114,3.75,2.24,2.83,0.91,323,104,0.7564
openai:gpt-realtime-2025-08-28,airline,control,50,8.26,6.58,7.24,1.02,362,51,0.8765
openai:gpt-realtime-2025-08-28,airline,regular,50,9.02,7.69,6.72,2.3,336,115,0.745
openai:gpt-realtime-2025-08-28,retail,control,114,7.21,3.32,6.54,0.68,745,77,0.9063
openai:gpt-realtime-2025-08-28,retail,control_accents,114,7.44,3.56,6.4,1.04,730,118,0.8608
openai:gpt-realtime-2025-08-28,retail,control_audio,114,7.32,3.36,6.41,0.9,731,103,0.8765
openai:gpt-realtime-2025-08-28,retail,control_behavior,114,7.52,3.5,6.7,0.82,764,93,0.8915
openai:gpt-realtime-2025-08-28,retail,regular,114,6.86,3.4,5.53,1.33,630,152,0.8056
openai:gpt-realtime-2025-08-28,telecom,control,114,8.84,4.24,4.5,4.34,513,495,0.5089
openai:gpt-realtime-2025-08-28,telecom,regular,114,8.29,4.02,3.57,4.72,407,538,0.4307
xai:xai-realtime,airline,control,50,6.14,3.24,3.58,2.56,179,128,0.5831
xai:xai-realtime,airline,regular,50,4.6,3.37,1.5,3.1,75,155,0.3261
xai:xai-realtime,retail,control,114,6.44,2.98,5.41,1.03,617,117,0.8406
xai:xai-realtime,retail,control_accents,114,5.39,3.35,3.66,1.73,417,197,0.6792
xai:xai-realtime,retail,control_audio,114,6.09,2.94,5.06,1.03,577,117,0.8314
xai:xai-realtime,retail,control_behavior,114,6.18,3.5,5.2,0.98,593,112,0.8411
xai:xai-realtime,retail,regular,114,5.96,4.01,4.05,1.9,462,217,0.6804
xai:xai-realtime,telecom,control,114,5.1,3.65,4.7,0.39,536,45,0.9225
xai:xai-realtime,telecom,regular,114,3.57,3.68,2.81,0.76,320,87,0.7862
