llm,domain,speech_complexity,provider,response_count,no_response_count,response_total,response_rate,response_latency_mean,response_latency_std,yield_count,no_yield_count,yield_total,yield_rate,yield_latency_mean,yield_latency_std,backchannel_correct_count,backchannel_error_count,backchannel_total,backchannel_error_rate,vocal_tic_correct_count,vocal_tic_error_count,vocal_tic_total,vocal_tic_error_rate,non_directed_correct_count,non_directed_error_count,non_directed_total,non_directed_error_rate
gemini:gemini-live-2.5-flash-native-audio,airline,control,gemini,383,19,402,0.9527363184079602,1.4041775456919066,0.7065759110903993,1,0,1,1.0,0.6000000000000001,,0,0,0,,0,0,0,,0,0,0,
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,371,90,461,0.8047722342733189,1.4598382749326142,1.0858196434485046,75,56,131,0.5725190839694656,0.7253333333333335,0.45055321350335314,8,1,9,0.1111111111111111,14,21,35,0.6,17,14,31,0.45161290322580644
gemini:gemini-live-2.5-flash-native-audio,retail,control,gemini,948,28,976,0.9713114754098361,1.4932489451476798,0.7276096703344807,1,0,1,1.0,0.6000000000000001,,0,0,0,,0,0,0,,0,0,0,
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,gemini,1047,75,1122,0.9331550802139037,1.5400191021967529,0.7777456757545064,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,gemini,1005,212,1217,0.8258011503697618,1.5313432835820895,0.7461606153580596,1,0,1,1.0,0.6000000000000001,,0,0,0,,0,0,0,,0,0,0,
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,gemini,921,71,992,0.9284274193548387,1.5190010857763294,0.7661858392167078,178,109,287,0.6202090592334495,0.8247191011235956,0.4901932972538831,43,23,66,0.3484848484848485,22,71,93,0.7634408602150538,15,48,63,0.7619047619047619
gemini:gemini-live-2.5-flash-native-audio,retail,regular,gemini,931,298,1229,0.7575264442636289,1.55703544575725,1.2441525240272282,126,122,248,0.5080645161290323,0.7682539682539683,0.47356533549672636,26,8,34,0.23529411764705882,36,70,106,0.660377358490566,38,32,70,0.45714285714285713
gemini:gemini-live-2.5-flash-native-audio,telecom,control,gemini,1097,51,1148,0.955574912891986,1.1994530537830446,0.36583031225584584,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,gemini,1006,247,1253,0.8028731045490822,1.2447316103379724,0.847041722195014,110,108,218,0.5045871559633027,0.7890909090909093,0.44748952210488835,2,0,2,0.0,36,95,131,0.7251908396946565,34,47,81,0.5802469135802469
openai:gpt-realtime-1.5,airline,control,openai,358,4,362,0.988950276243094,1.7893854748603353,0.7907016789602493,4,0,4,1.0,0.4,0.0,0,0,0,,0,0,0,,0,0,0,
