domain,n_tasks,provider,model,text_sota,voice,delta,delta_relative
All,278,Google,gemini-live-2.5,0.8466666666666667,0.24619883040935672,-0.6004678362573099,-0.7092139798314684
All,278,OpenAI,gpt-realtime-1.,0.8466666666666667,0.34970760233918124,-0.49695906432748543,-0.5869595247962426
All,278,OpenAI,gpt-realtime-20,0.8466666666666667,0.3425730994152047,-0.5040935672514619,-0.5953861030529077
All,278,xAI,xai-realtime,0.8466666666666667,0.37730994152046776,-0.4693567251461989,-0.5543583367868491
retail,114,Google,gemini-live-2.5,0.81,0.2807017543859649,-0.5292982456140352,-0.6534546242148582
retail,114,OpenAI,gpt-realtime-1.,0.81,0.4385964912280701,-0.37140350877192996,-0.458522850335716
retail,114,OpenAI,gpt-realtime-20,0.81,0.3333333333333333,-0.47666666666666674,-0.5884773662551441
retail,114,xAI,xai-realtime,0.81,0.3684210526315789,-0.4415789473684211,-0.5451591942820013
airline,50,Google,gemini-live-2.5,0.83,0.3,-0.53,-0.6385542168674699
airline,50,OpenAI,gpt-realtime-1.,0.83,0.4,-0.42999999999999994,-0.5180722891566265
airline,50,OpenAI,gpt-realtime-20,0.83,0.44,-0.38999999999999996,-0.4698795180722891
airline,50,xAI,xai-realtime,0.83,0.36,-0.47,-0.5662650602409639
telecom,114,Google,gemini-live-2.5,0.9,0.1578947368421052,-0.7421052631578948,-0.824561403508772
telecom,114,OpenAI,gpt-realtime-1.,0.9,0.2105263157894736,-0.6894736842105265,-0.7660818713450294
telecom,114,OpenAI,gpt-realtime-20,0.9,0.2543859649122807,-0.6456140350877193,-0.7173489278752436
telecom,114,xAI,xai-realtime,0.9,0.4035087719298245,-0.49649122807017554,-0.5516569200779728
