domain,llm,speech_complexity,provider,num_tasks,pass_hat_1,pass_hat_1_std,avg_reward
airline,gemini:gemini-live-2.5-flash-native-audio,regular,gemini,50,0.3,0.4629100498862757,0.3
retail,xai:xai-realtime,control_audio,xai,114,0.4473684210526316,0.49941745290716594,0.4473684210526316
telecom,openai:gpt-realtime-1.5,regular,openai,114,0.21052631578947367,0.40948238879709964,0.21052631578947367
telecom,openai:gpt-realtime-1.5,control,openai,114,0.2807017543859649,0.451325911514035,0.2807017543859649
telecom,gemini:gemini-live-2.5-flash-native-audio,control,gemini,114,0.20175438596491227,0.4030815934749342,0.20175438596491227
retail,gemini:gemini-live-2.5-flash-native-audio,control_audio,gemini,114,0.3508771929824561,0.4793516295841408,0.3508771929824561
airline,xai:xai-realtime,control,xai,50,0.46,0.5034574339058886,0.46
airline,openai:gpt-realtime-1.5,regular,openai,50,0.4,0.49487165930539356,0.4
airline,xai:xai-realtime,regular,xai,50,0.36,0.48487322138506117,0.36
retail,gemini:gemini-live-2.5-flash-native-audio,control,gemini,114,0.38596491228070173,0.4889716847553344,0.38596491228070173
airline,openai:gpt-realtime-1.5,control,openai,50,0.48,0.5046720495044483,0.48
retail,xai:xai-realtime,control_accents,xai,114,0.2894736842105263,0.45552040084340517,0.2894736842105263
retail,openai:gpt-realtime-1.5,regular,openai,114,0.43859649122807015,0.49840609165616045,0.43859649122807015
retail,xai:xai-realtime,control,xai,114,0.4824561403508772,0.5018982751417672,0.4824561403508772
retail,openai:gpt-realtime-1.5,control_audio,openai,114,0.6491228070175439,0.4793516295841408,0.6491228070175439
retail,openai:gpt-realtime-1.5,control_accents,openai,114,0.5877192982456141,0.49441846610364576,0.5877192982456141
retail,gemini:gemini-live-2.5-flash-native-audio,regular,gemini,114,0.2807017543859649,0.451325911514035,0.2807017543859649
retail,xai:xai-realtime,control_behavior,xai,114,0.5087719298245614,0.5021302238294051,0.5087719298245614
retail,openai:gpt-realtime-1.5,control,openai,114,0.6929824561403509,0.4632931941657309,0.6929824561403509
telecom,xai:xai-realtime,control,xai,114,0.5789473684210527,0.4959077997752902,0.5789473684210527
retail,openai:gpt-realtime-1.5,control_behavior,openai,114,0.5614035087719298,0.49840609165616045,0.5614035087719298
retail,gemini:gemini-live-2.5-flash-native-audio,control_accents,gemini,114,0.45614035087719296,0.5002716231623263,0.45614035087719296
telecom,gemini:gemini-live-2.5-flash-native-audio,regular,gemini,114,0.15789473684210525,0.3662521827757252,0.15789473684210525
retail,gemini:gemini-live-2.5-flash-native-audio,control_behavior,gemini,114,0.41228070175438597,0.4944184661036458,0.41228070175438597
telecom,xai:xai-realtime,regular,xai,114,0.40350877192982454,0.4927671234726092,0.40350877192982454
retail,xai:xai-realtime,regular,xai,114,0.3684210526315789,0.4845060963795715,0.3684210526315789
airline,gemini:gemini-live-2.5-flash-native-audio,control,gemini,50,0.28,0.4535573676110727,0.28
