domain,provider,model,response_rate,response_latency,yield_rate,yield_latency,backchannel_error_rate,vocal_tic_error_rate,non_directed_error_rate
All,Google,gemini-live-2.5-flash-nat,0.78839059436201,1.4205351103426123,0.5283902520206002,0.7608927368927371,0.11546840958605664,0.6618560660617409,0.4963342246496368
All,OpenAI,gpt-realtime-1.5,0.999286480438061,1.388785015483953,0.9996027016289233,0.41920419097495776,0.9811369509043928,0.947175491175491,0.9032062315194845
All,OpenAI,gpt-realtime-2025-08-28,0.9841796649253728,1.4692612091631432,0.9972772210635285,0.41148196872456727,0.9826810616284302,0.9550948077263867,0.8634435127959513
All,xAI,xai-realtime,0.913223367979192,1.1492654229568544,0.7520328708220169,1.1529325640061032,0.07176879693755293,0.4162986115716821,0.788165318916076
retail,Google,gemini-live-2.5-flash-nat,0.7575264442636289,1.55703544575725,0.5080645161290323,0.7682539682539683,0.2352941176470588,0.660377358490566,0.4571428571428571
retail,OpenAI,gpt-realtime-1.5,0.9993108201240524,1.3924137931034484,1.0,0.4255744255744257,0.9666666666666668,0.9384615384615383,0.9156626506024096
retail,OpenAI,gpt-realtime-2025-08-28,0.9824407374890256,1.539231456657729,0.9972862957937584,0.4138775510204082,1.0,0.9157894736842104,0.8721804511278195
retail,xAI,xai-realtime,0.9050144648023144,1.1152903569525845,0.7020029311187103,1.1759220598469031,0.0655737704918032,0.3941908713692946,0.7834394904458599
airline,Google,gemini-live-2.5-flash-nat,0.8047722342733189,1.4598382749326142,0.5725190839694656,0.7253333333333335,0.1111111111111111,0.6,0.4516129032258064
airline,OpenAI,gpt-realtime-1.5,0.9985486211901308,1.427906976744186,1.0,0.417479674796748,0.9767441860465116,0.935064935064935,0.9285714285714286
airline,OpenAI,gpt-realtime-2025-08-28,0.9752577319587628,1.4934460887949257,0.9967741935483873,0.4058252427184465,0.9743589743589745,1.0,0.8333333333333334
airline,xAI,xai-realtime,0.9074074074074074,1.1765306122448969,0.7717265353418308,1.1243243243243242,0.0909090909090909,0.4056603773584906,0.8032786885245902
telecom,Google,gemini-live-2.5-flash-nat,0.8028731045490822,1.2447316103379724,0.5045871559633027,0.7890909090909093,0.0,0.7251908396946565,0.5802469135802469
telecom,OpenAI,gpt-realtime-1.5,1.0,1.346034276604224,0.99880810488677,0.4145584725536994,1.0,0.968,0.8653846153846154
telecom,OpenAI,gpt-realtime-2025-08-28,0.9948405253283302,1.375106082036775,0.9977711738484398,0.4147431124348473,0.9736842105263158,0.9494949494949496,0.8848167539267016
telecom,xAI,xai-realtime,0.9272482317278544,1.155975299673082,0.7823691460055097,1.1585513078470824,0.0588235294117647,0.4490445859872611,0.7777777777777778
