domain,n_tasks,provider,model,text_sota,voice,delta,delta_relative
All,278,Google,Gemini 2.5 Flash,0.8466666666666667,0.25204678362573096,-0.5946198830409357,-0.7023069484735461
All,278,OpenAI,GPT Realtime 1.5,0.8466666666666667,0.34970760233918124,-0.49695906432748543,-0.5869595247962426
All,278,xAI,xAI Realtime,0.8466666666666667,0.37730994152046776,-0.4693567251461989,-0.5543583367868491
retail,114,Google,Gemini 2.5 Flash,0.81,0.2982456140350877,-0.5117543859649123,-0.6317955382282867
retail,114,OpenAI,GPT Realtime 1.5,0.81,0.4385964912280701,-0.37140350877192996,-0.458522850335716
retail,114,xAI,xAI Realtime,0.81,0.3684210526315789,-0.4415789473684211,-0.5451591942820013
airline,50,Google,Gemini 2.5 Flash,0.83,0.3,-0.53,-0.6385542168674699
airline,50,OpenAI,GPT Realtime 1.5,0.83,0.4,-0.42999999999999994,-0.5180722891566265
airline,50,xAI,xAI Realtime,0.83,0.36,-0.47,-0.5662650602409639
telecom,114,Google,Gemini 2.5 Flash,0.9,0.1578947368421052,-0.7421052631578948,-0.824561403508772
telecom,114,OpenAI,GPT Realtime 1.5,0.9,0.2105263157894736,-0.6894736842105265,-0.7660818713450294
telecom,114,xAI,xAI Realtime,0.9,0.4035087719298245,-0.49649122807017554,-0.5516569200779728
