error_message,count
Error: User not found,1304
Error: Tool 'set_network_mode_preference' not found.,103
Error: Order not found,96
Error: Tool 'toggle_airplane_mode' not found.,96
Error: Tool 'reset_apn_settings' not found.,80
Error: Tool 'toggle_data' not found.,71
Error: Tool 'run_speed_test' not found.,69
Error: Payment method should be the original payment method,63
Error: Tool 'check_network_status' not found.,58
Error: Tool 'check_sim_status' not found.,47
Error: Tool 'can_send_mms' not found.,45
Error: Tool 'check_apn_settings' not found.,42
Error: Tool 'reseat_sim_card' not found.,41
Error: Non-delivered order cannot be exchanged,40
Error: Non-delivered order cannot be returned,32
Error: Item not found,30
Error: Tool 'check_status_bar' not found.,30
Error: Variant not found,24
Error: Tool 'toggle_data_saver_mode' not found.,24
Error: Non-pending order cannot be modified,23
Error: Customer with phone number 555-123 not found,22
Error: Tool 'reboot_device' not found.,20
Error: Customer with phone number +1-555-123-2002 not found,20
Error: Tool 'check_app_permissions' not found.,19
Error: The new item id should be different from the old item id,19
Error: Customer with phone number 5551232002 not found,19
Error: The number of items to be exchanged should match,18
Error: Non-pending order cannot be cancelled,16
Error: User Sophia_Silva_7557 not found,15
Error: Customer with phone number 555-123-0002 not found,15
Error: Customer with phone number unknown not found,14
Error: Product not found,13
"Error: 2 validation errors for FlightInfo
flight_number
  Field required [type=missing, input_value={'""date""': '2024-05-13', ...ight_number""': 'HAT030'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
date
  Field required [type=missing, input_value={'""date""': '2024-05-13', ...ight_number""': 'HAT030'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",11
Error: Insufficient gift card balance to pay for the price difference,11
"Error: 2 validation errors for FlightInfo
flight_number
  Field required [type=missing, input_value={'""date""': '2024-05-24', ...ight_number""': 'HAT190'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
date
  Field required [type=missing, input_value={'""date""': '2024-05-24', ...ight_number""': 'HAT190'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",10
Error: Customer with phone number 555-123-002 not found,10
Error: User Amelia_Davis_8890 not found,10
"Error: 1 validation error for FlightInfo
date
  Field required [type=missing, input_value={'""date""': '2024-05-25', ...light_number': 'HAT056'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",10
Error: New item 3111466194 not found or available,10
Error: Customer with phone number +15551232002 not found,10
Error: 1355937109 not found,9
Error: Tool 'check_data_restriction_status' not found.,9
