domain,n_tasks,provider,model,control,regular,delta,delta_relative
All,278,Google,gemini-live-2.5-flash-nat,0.2892397660818713,0.24619883040935672,-0.043040935672514574,-0.14880711686211065
All,278,OpenAI,gpt-realtime-1.5,0.48456140350877197,0.34970760233918124,-0.13485380116959073,-0.2783007482500605
All,278,OpenAI,gpt-realtime-2025-08-28,0.4069005847953216,0.3425730994152047,-0.0643274853801169,-0.1580914055763149
All,278,xAI,xai-realtime,0.5071345029239765,0.37730994152046776,-0.1298245614035088,-0.2559963099630997
retail,114,Google,gemini-live-2.5-flash-nat,0.3859649122807017,0.2807017543859649,-0.10526315789473678,-0.2727272727272726
retail,114,OpenAI,gpt-realtime-1.5,0.6929824561403509,0.4385964912280701,-0.2543859649122808,-0.3670886075949369
retail,114,OpenAI,gpt-realtime-2025-08-28,0.5350877192982456,0.3333333333333333,-0.2017543859649123,-0.3770491803278689
retail,114,xAI,xai-realtime,0.4824561403508772,0.3684210526315789,-0.11403508771929827,-0.23636363636363641
airline,50,Google,gemini-live-2.5-flash-nat,0.28,0.3,0.019999999999999962,0.07142857142857129
airline,50,OpenAI,gpt-realtime-1.5,0.48,0.4,-0.07999999999999996,-0.1666666666666666
airline,50,OpenAI,gpt-realtime-2025-08-28,0.44,0.44,0.0,0.0
airline,50,xAI,xai-realtime,0.46,0.36,-0.10000000000000003,-0.21739130434782614
telecom,114,Google,gemini-live-2.5-flash-nat,0.2017543859649122,0.1578947368421052,-0.04385964912280699,-0.21739130434782603
telecom,114,OpenAI,gpt-realtime-1.5,0.2807017543859649,0.2105263157894736,-0.07017543859649131,-0.2500000000000003
telecom,114,OpenAI,gpt-realtime-2025-08-28,0.2456140350877192,0.2543859649122807,0.008771929824561514,0.03571428571428618
telecom,114,xAI,xai-realtime,0.5789473684210527,0.4035087719298245,-0.17543859649122817,-0.3030303030303032
