llm,domain,speech_complexity,num_simulations,mean_duration,std_duration,min_duration,max_duration,median_duration,mean_ticks
gemini:gemini-live-2.5-flash-native-audio,airline,control,50,167.09,81.54,48.43,437.49,154.05,589.2
gemini:gemini-live-2.5-flash-native-audio,airline,regular,50,237.1,95.64,59.28,470.5,235.4,673.84
gemini:gemini-live-2.5-flash-native-audio,retail,control,114,202.26,73.29,80.53,443.01,195.81,657.43
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,114,220.03,74.51,95.51,470.04,219.62,769.11
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,114,216.28,91.54,46.96,512.59,201.62,762.92
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,114,224.57,87.56,69.03,479.6,218.52,623.61
gemini:gemini-live-2.5-flash-native-audio,retail,regular,114,302.09,117.43,92.88,693.34,295.39,781.99
gemini:gemini-live-2.5-flash-native-audio,telecom,control,114,231.17,100.59,35.1,541.41,221.47,709.99
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,114,296.37,112.45,19.81,558.16,296.2,789.22
openai:gpt-realtime-1.5,airline,control,50,321.59,138.23,72.49,743.79,299.03,1160.92
openai:gpt-realtime-1.5,airline,regular,50,589.62,297.6,133.72,1514.21,572.1,1286.66
openai:gpt-realtime-1.5,retail,control,114,371.34,143.02,151.02,800.86,346.09,1256.99
openai:gpt-realtime-1.5,retail,control_accents,114,360.83,148.37,144.06,870.63,334.04,1301.38
openai:gpt-realtime-1.5,retail,control_audio,114,350.58,136.9,138.12,860.2,327.58,1254.43
openai:gpt-realtime-1.5,retail,control_behavior,114,630.03,325.13,176.83,1698.4,550.8,1262.64
openai:gpt-realtime-1.5,retail,regular,114,645.99,348.91,115.39,1959.01,542.66,1275.18
openai:gpt-realtime-1.5,telecom,control,114,483.25,179.25,74.32,1043.53,462.7,1496.9
openai:gpt-realtime-1.5,telecom,regular,114,871.95,363.85,202.87,1660.7,805.4,1813.63
xai:xai-realtime,airline,control,50,413.72,218.69,92.09,876.89,331.34,1452.86
xai:xai-realtime,airline,regular,50,755.93,430.35,87.9,1669.35,700.46,1630.98
xai:xai-realtime,retail,control,114,565.95,235.69,122.77,1054.1,531.82,1867.88
xai:xai-realtime,retail,control_accents,114,641.43,249.58,178.66,1238.34,634.13,2173.89
xai:xai-realtime,retail,control_audio,114,563.45,237.34,139.63,988.97,533.2,1974.25
xai:xai-realtime,retail,control_behavior,114,794.09,374.21,114.05,1698.67,742.71,1476.19
xai:xai-realtime,retail,regular,114,1038.52,488.15,146.9,1769.26,1011.49,1935.43
xai:xai-realtime,telecom,control,114,698.71,292.65,113.9,1082.5,781.36,2192.77
xai:xai-realtime,telecom,regular,114,1130.51,490.23,55.26,1744.09,1347.44,2299.84
