llm,speech_complexity,agent,none,user,agent_count,none_count,user_count
gemini:gemini-live-2.5-flash-native-audio,control,65.1,17.6,17.3,181,49,48
gemini:gemini-live-2.5-flash-native-audio,control_accents,46.5,44.7,8.8,53,51,10
gemini:gemini-live-2.5-flash-native-audio,control_audio,65.8,22.8,11.4,75,26,13
gemini:gemini-live-2.5-flash-native-audio,control_behavior,63.2,22.8,14.0,72,26,16
gemini:gemini-live-2.5-flash-native-audio,regular,73.4,10.4,16.2,204,29,45
openai:gpt-realtime-1.5,control,42.4,47.8,9.7,118,133,27
openai:gpt-realtime-1.5,control_accents,26.3,65.8,7.9,30,75,9
openai:gpt-realtime-1.5,control_audio,24.6,67.5,7.9,28,77,9
openai:gpt-realtime-1.5,control_behavior,25.4,57.9,16.7,29,66,19
openai:gpt-realtime-1.5,regular,52.9,33.8,13.3,147,94,37
xai:xai-realtime,control,35.6,55.0,9.4,99,153,26
xai:xai-realtime,control_accents,51.8,33.3,14.9,59,38,17
xai:xai-realtime,control_audio,35.1,46.5,18.4,40,53,21
xai:xai-realtime,control_behavior,36.0,47.4,16.7,41,54,19
xai:xai-realtime,regular,54.7,37.8,7.6,152,105,21
