llm,domain,speech_complexity,failed,not_needed,succeeded,total,success_rate,failure_rate
gemini:gemini-live-2.5-flash-native-audio,airline,control,6,3,41,50,82.0,12.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,10,2,38,50,76.0,20.0
gemini:gemini-live-2.5-flash-native-audio,retail,control,19,1,94,114,82.5,16.7
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,16,1,97,114,85.1,14.0
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,25,3,86,114,75.4,21.9
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,16,3,95,114,83.3,14.0
gemini:gemini-live-2.5-flash-native-audio,retail,regular,37,2,75,114,65.8,32.5
gemini:gemini-live-2.5-flash-native-audio,telecom,control,9,7,98,114,86.0,7.9
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,29,2,83,114,72.8,25.4
openai:gpt-realtime-1.5,airline,control,2,1,47,50,94.0,4.0
openai:gpt-realtime-1.5,airline,regular,5,2,43,50,86.0,10.0
openai:gpt-realtime-1.5,retail,control,3,0,111,114,97.4,2.6
openai:gpt-realtime-1.5,retail,control_accents,15,0,99,114,86.8,13.2
openai:gpt-realtime-1.5,retail,control_audio,8,0,106,114,93.0,7.0
openai:gpt-realtime-1.5,retail,control_behavior,7,0,107,114,93.9,6.1
openai:gpt-realtime-1.5,retail,regular,23,1,90,114,78.9,20.2
openai:gpt-realtime-1.5,telecom,control,5,1,108,114,94.7,4.4
openai:gpt-realtime-1.5,telecom,regular,10,0,104,114,91.2,8.8
openai:gpt-realtime-2025-08-28,airline,control,3,3,44,50,88.0,6.0
openai:gpt-realtime-2025-08-28,airline,regular,10,3,37,50,74.0,20.0
openai:gpt-realtime-2025-08-28,retail,control,12,2,100,114,87.7,10.5
openai:gpt-realtime-2025-08-28,retail,control_accents,17,4,93,114,81.6,14.9
openai:gpt-realtime-2025-08-28,retail,control_audio,16,3,95,114,83.3,14.0
openai:gpt-realtime-2025-08-28,retail,control_behavior,13,2,99,114,86.8,11.4
openai:gpt-realtime-2025-08-28,retail,regular,28,1,85,114,74.6,24.6
openai:gpt-realtime-2025-08-28,telecom,control,0,35,79,114,69.3,0.0
openai:gpt-realtime-2025-08-28,telecom,regular,10,43,61,114,53.5,8.8
xai:xai-realtime,airline,control,21,0,29,50,58.0,42.0
xai:xai-realtime,airline,regular,32,3,15,50,30.0,64.0
xai:xai-realtime,retail,control,21,0,93,114,81.6,18.4
xai:xai-realtime,retail,control_accents,50,0,64,114,56.1,43.9
xai:xai-realtime,retail,control_audio,22,0,92,114,80.7,19.3
xai:xai-realtime,retail,control_behavior,19,0,95,114,83.3,16.7
xai:xai-realtime,retail,regular,45,2,67,114,58.8,39.5
xai:xai-realtime,telecom,control,11,23,80,114,70.2,9.6
xai:xai-realtime,telecom,regular,38,33,43,114,37.7,33.3
