llm,speech_complexity,num_simulations,simulations_with_errors,simulations_with_agent_error,simulations_with_user_error,simulations_with_critical_user_error,total_errors,error_rate,agent_error_rate,user_error_rate,avg_errors_per_sim
gemini:gemini-live-2.5-flash-native-audio,control,278,251,244,110,80,781,0.9028776978417267,0.8776978417266187,0.39568345323741005,2.8093525179856114
gemini:gemini-live-2.5-flash-native-audio,control_accents,114,88,85,31,25,238,0.7719298245614035,0.7456140350877193,0.2719298245614035,2.087719298245614
gemini:gemini-live-2.5-flash-native-audio,control_audio,114,99,95,42,28,293,0.868421052631579,0.8333333333333334,0.3684210526315789,2.5701754385964914
gemini:gemini-live-2.5-flash-native-audio,control_behavior,114,102,99,38,33,275,0.8947368421052632,0.868421052631579,0.3333333333333333,2.412280701754386
gemini:gemini-live-2.5-flash-native-audio,regular,278,264,258,130,92,866,0.9496402877697842,0.9280575539568345,0.4676258992805755,3.115107913669065
openai:gpt-realtime-1.5,control,278,161,143,84,58,321,0.579136690647482,0.5143884892086331,0.302158273381295,1.1546762589928057
openai:gpt-realtime-1.5,control_accents,114,50,44,30,25,112,0.43859649122807015,0.38596491228070173,0.2631578947368421,0.9824561403508771
openai:gpt-realtime-1.5,control_audio,114,48,40,27,17,105,0.42105263157894735,0.3508771929824561,0.23684210526315788,0.9210526315789473
openai:gpt-realtime-1.5,control_behavior,114,62,50,45,34,140,0.543859649122807,0.43859649122807015,0.39473684210526316,1.2280701754385965
openai:gpt-realtime-1.5,regular,278,205,190,117,86,526,0.737410071942446,0.6834532374100719,0.420863309352518,1.8920863309352518
openai:gpt-realtime-2025-08-28,control,278,222,210,104,75,560,0.7985611510791367,0.7553956834532374,0.37410071942446044,2.014388489208633
openai:gpt-realtime-2025-08-28,control_accents,114,88,85,37,25,239,0.7719298245614035,0.7456140350877193,0.32456140350877194,2.0964912280701755
openai:gpt-realtime-2025-08-28,control_audio,114,95,92,33,28,239,0.8333333333333334,0.8070175438596491,0.2894736842105263,2.0964912280701755
openai:gpt-realtime-2025-08-28,control_behavior,114,98,93,39,32,252,0.8596491228070176,0.8157894736842105,0.34210526315789475,2.210526315789474
openai:gpt-realtime-2025-08-28,regular,278,246,236,129,96,836,0.8848920863309353,0.8489208633093526,0.46402877697841727,3.0071942446043165
xai:xai-realtime,control,278,160,149,74,51,508,0.5755395683453237,0.5359712230215827,0.26618705035971224,1.8273381294964028
xai:xai-realtime,control_accents,114,86,80,36,28,386,0.7543859649122807,0.7017543859649122,0.3157894736842105,3.3859649122807016
xai:xai-realtime,control_audio,114,75,65,45,34,229,0.6578947368421053,0.5701754385964912,0.39473684210526316,2.008771929824561
xai:xai-realtime,control_behavior,114,74,63,44,34,192,0.6491228070175439,0.5526315789473685,0.38596491228070173,1.6842105263157894
xai:xai-realtime,regular,278,205,195,92,57,772,0.737410071942446,0.7014388489208633,0.33093525179856115,2.776978417266187
