llm,domain,speech_complexity,success,num_simulations,mean_duration,std_duration,median_duration,outcome
gemini:gemini-live-2.5-flash-native-audio,airline,control,False,36,186.12,83.88,163.41,failure
gemini:gemini-live-2.5-flash-native-audio,airline,control,True,14,118.14,50.36,117.7,success
gemini:gemini-live-2.5-flash-native-audio,airline,regular,False,35,244.84,102.89,249.51,failure
gemini:gemini-live-2.5-flash-native-audio,airline,regular,True,15,219.04,76.21,218.32,success
gemini:gemini-live-2.5-flash-native-audio,retail,control,False,70,198.97,72.74,190.84,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control,True,44,207.51,74.69,195.93,success
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,False,62,222.58,81.55,221.15,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,True,52,216.98,65.8,215.3,success
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,False,74,205.74,90.43,195.35,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,True,40,235.77,91.5,205.08,success
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,False,67,237.06,94.91,228.4,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,True,47,206.77,73.2,214.49,success
gemini:gemini-live-2.5-flash-native-audio,retail,regular,False,82,304.62,124.42,303.22,failure
gemini:gemini-live-2.5-flash-native-audio,retail,regular,True,32,295.62,98.76,283.97,success
gemini:gemini-live-2.5-flash-native-audio,telecom,control,False,91,246.95,102.34,233.68,failure
gemini:gemini-live-2.5-flash-native-audio,telecom,control,True,23,168.74,63.43,155.49,success
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,False,96,299.42,118.35,296.6,failure
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,True,18,280.08,73.79,272.65,success
openai:gpt-realtime-1.5,airline,control,False,26,366.85,145.42,360.38,failure
openai:gpt-realtime-1.5,airline,control,True,24,272.56,113.58,262.27,success
openai:gpt-realtime-1.5,airline,regular,False,30,623.58,329.23,591.65,failure
openai:gpt-realtime-1.5,airline,regular,True,20,538.68,241.68,525.56,success
openai:gpt-realtime-1.5,retail,control,False,35,416.11,155.01,367.63,failure
openai:gpt-realtime-1.5,retail,control,True,79,351.5,133.64,342.49,success
openai:gpt-realtime-1.5,retail,control_accents,False,47,384.8,170.38,363.4,failure
openai:gpt-realtime-1.5,retail,control_accents,True,67,344.02,129.47,325.88,success
openai:gpt-realtime-1.5,retail,control_audio,False,40,381.52,159.18,374.4,failure
openai:gpt-realtime-1.5,retail,control_audio,True,74,333.86,121.1,314.5,success
openai:gpt-realtime-1.5,retail,control_behavior,False,50,740.92,373.05,654.0,failure
openai:gpt-realtime-1.5,retail,control_behavior,True,64,543.4,252.96,487.78,success
openai:gpt-realtime-1.5,retail,regular,False,64,646.01,390.64,513.17,failure
openai:gpt-realtime-1.5,retail,regular,True,50,645.95,290.75,554.38,success
openai:gpt-realtime-1.5,telecom,control,False,82,513.64,167.9,463.83,failure
openai:gpt-realtime-1.5,telecom,control,True,32,405.36,186.43,363.78,success
openai:gpt-realtime-1.5,telecom,regular,False,90,952.07,350.45,892.37,failure
openai:gpt-realtime-1.5,telecom,regular,True,24,571.51,236.32,582.29,success
xai:xai-realtime,airline,control,False,27,471.61,232.42,437.17,failure
xai:xai-realtime,airline,control,True,23,345.77,183.69,306.89,success
xai:xai-realtime,airline,regular,False,32,833.25,495.78,760.09,failure
xai:xai-realtime,airline,regular,True,18,618.48,233.09,588.94,success
xai:xai-realtime,retail,control,False,59,582.53,276.74,576.47,failure
xai:xai-realtime,retail,control,True,55,548.16,182.66,529.72,success
xai:xai-realtime,retail,control_accents,False,81,678.41,266.72,721.36,failure
xai:xai-realtime,retail,control_accents,True,33,550.64,173.61,523.51,success
xai:xai-realtime,retail,control_audio,False,63,589.72,276.44,589.01,failure
xai:xai-realtime,retail,control_audio,True,51,530.99,174.92,500.07,success
xai:xai-realtime,retail,control_behavior,False,56,797.02,453.28,702.55,failure
xai:xai-realtime,retail,control_behavior,True,58,791.27,281.67,789.64,success
xai:xai-realtime,retail,regular,False,72,1098.3,548.49,1193.02,failure
xai:xai-realtime,retail,regular,True,42,936.05,344.62,963.25,success
xai:xai-realtime,telecom,control,False,48,924.27,132.55,968.61,failure
xai:xai-realtime,telecom,control,True,66,534.67,267.0,570.66,success
xai:xai-realtime,telecom,regular,False,68,1438.21,260.87,1465.12,failure
xai:xai-realtime,telecom,regular,True,46,675.66,384.21,654.89,success
