error_tags,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),gpt-realtime-2025-08 (control),gpt-realtime-2025-08 (control_accents),gpt-realtime-2025-08 (control_audio),gpt-realtime-2025-08 (control_behavior),gpt-realtime-2025-08 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),TOTAL
incorrect_interpretation,133,46,72,58,145,63,38,27,31,96,88,50,49,49,136,138,234,69,32,278,1832
missed_required_action,236,44,43,42,258,123,21,22,25,152,175,34,38,52,190,72,50,40,40,144,1801
tool_call_argument_error,117,57,71,52,174,17,16,15,25,99,53,67,52,41,148,180,84,48,47,282,1645
guideline_violation,136,53,66,91,161,56,10,18,17,68,149,79,82,104,183,52,14,23,19,58,1439
premature_termination,134,32,31,34,164,81,24,18,33,109,98,21,30,29,127,46,19,28,35,50,1143
hallucination,55,16,28,12,60,18,7,8,14,25,34,6,9,11,54,56,23,28,27,50,541
tool_call_schema_error,107,3,3,4,107,9,1,0,0,16,40,1,3,6,107,17,3,3,4,12,446
inconsistent_behavior,16,9,9,13,9,4,6,6,6,11,10,5,1,4,13,14,8,13,3,16,176
irrelevant_tool_call,12,11,13,12,5,1,1,0,0,1,10,3,1,2,12,4,0,2,0,3,93
wrong_sequence,9,3,5,5,4,3,2,3,2,5,3,5,5,1,7,2,2,1,2,10,79
other,6,1,2,0,4,7,0,0,1,3,5,1,0,0,5,3,4,3,1,9,55
revealed_info_early,4,3,1,0,4,5,0,1,1,4,4,4,0,3,6,2,1,0,2,6,51
interruption_error,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,4,0,0,1,10
incomplete_information,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
missing_required_action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
