error_tags,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),TOTAL
incorrect_interpretation,133,46,72,58,145,63,38,27,31,96,138,234,69,32,278,1460
missed_required_action,236,44,43,42,258,123,21,22,25,152,72,50,40,40,144,1312
tool_call_argument_error,117,57,71,52,174,17,16,15,25,99,180,84,48,47,282,1284
guideline_violation,136,53,66,91,161,56,10,18,17,68,52,14,23,19,58,842
premature_termination,134,32,31,34,164,81,24,18,33,109,46,19,28,35,50,838
hallucination,55,16,28,12,60,18,7,8,14,25,56,23,28,27,50,427
tool_call_schema_error,107,3,3,4,107,9,1,0,0,16,17,3,3,4,12,289
inconsistent_behavior,16,9,9,13,9,4,6,6,6,11,14,8,13,3,16,143
irrelevant_tool_call,12,11,13,12,5,1,1,0,0,1,4,0,2,0,3,65
wrong_sequence,9,3,5,5,4,3,2,3,2,5,2,2,1,2,10,58
other,6,1,2,0,4,7,0,0,1,3,3,4,3,1,9,44
revealed_info_early,4,3,1,0,4,5,0,1,1,4,2,1,0,2,6,34
interruption_error,0,0,0,0,1,0,0,1,0,2,0,4,0,0,1,9
incomplete_information,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
missing_required_action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
