error_category,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),TOTAL
Error: User not found,76,68,96,91,122,20,36,32,28,67,97,185,108,95,183,1304
Error: Tool 'set_network_mode_preference' not found.,41,0,0,0,33,4,0,0,0,25,0,0,0,0,0,103
Error: Order not found,11,8,18,7,9,0,0,2,0,2,5,6,5,1,22,96
Error: Tool 'toggle_airplane_mode' not found.,48,0,0,0,41,4,0,0,0,3,0,0,0,0,0,96
Error: Tool 'reset_apn_settings' not found.,36,0,0,0,30,0,0,0,0,14,0,0,0,0,0,80
Error: Tool 'toggle_data' not found.,38,0,0,0,30,1,0,0,0,2,0,0,0,0,0,71
Error: Tool 'run_speed_test' not found.,35,0,0,0,32,0,0,0,0,2,0,0,0,0,0,69
Error: Payment method should be the original payment method,8,9,8,6,4,4,3,3,2,2,3,2,2,5,2,63
Error: Tool 'check_network_status' not found.,28,0,0,0,30,0,0,0,0,0,0,0,0,0,0,58
Error: Tool 'check_sim_status' not found.,22,0,0,0,24,1,0,0,0,0,0,0,0,0,0,47
Error: Tool 'can_send_mms' not found.,24,0,0,0,20,0,0,0,0,1,0,0,0,0,0,45
Error: Tool 'check_apn_settings' not found.,23,0,0,0,16,0,0,0,0,3,0,0,0,0,0,42
"Error: 1 validation error for FlightInfo
date
  Field requir",27,0,0,0,14,0,0,0,0,0,0,0,0,0,0,41
Error: Tool 'reseat_sim_card' not found.,13,0,0,0,14,7,0,0,0,7,0,0,0,0,0,41
Error: Non-delivered order cannot be exchanged,5,1,13,3,6,3,2,2,3,0,0,1,0,0,1,40
Error: Non-delivered order cannot be returned,4,9,5,6,3,0,0,1,0,1,1,0,1,1,0,32
"Error: 2 validation errors for FlightInfo
flight_number
  Fi",21,0,0,0,9,0,0,0,0,0,0,0,0,0,0,30
Error: Tool 'check_status_bar' not found.,11,0,0,0,16,1,0,0,0,2,0,0,0,0,0,30
Error: Item not found,3,1,4,0,1,0,0,2,1,1,7,2,0,2,6,30
Error: Tool 'toggle_data_saver_mode' not found.,15,0,0,0,9,0,0,0,0,0,0,0,0,0,0,24
Error: Variant not found,3,9,1,5,1,2,1,0,0,1,0,0,0,1,0,24
