llm,domain,speech_complexity,task_success,num_simulations,mean_agent_calls,std_agent_calls,mean_calls_success,mean_calls_failed,task_outcome
gemini:gemini-live-2.5-flash-native-audio,airline,control,False,36,34.97,168.44,33.22,1.75,failure
gemini:gemini-live-2.5-flash-native-audio,airline,control,True,14,4.14,2.91,2.57,1.57,success
gemini:gemini-live-2.5-flash-native-audio,airline,regular,False,35,11.91,33.02,10.29,1.63,failure
gemini:gemini-live-2.5-flash-native-audio,airline,regular,True,15,3.6,3.22,2.87,0.73,success
gemini:gemini-live-2.5-flash-native-audio,retail,control,False,70,6.59,4.06,5.23,1.36,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control,True,44,8.27,4.31,7.25,1.02,success
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,False,62,6.9,3.71,5.53,1.37,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,True,52,8.08,3.07,7.15,0.92,success
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,False,74,7.12,5.58,5.43,1.69,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,True,40,7.6,3.47,6.55,1.05,success
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,False,67,10.12,18.66,8.63,1.49,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,True,47,7.38,3.15,6.55,0.83,success
gemini:gemini-live-2.5-flash-native-audio,retail,regular,False,82,5.59,3.77,3.94,1.65,failure
gemini:gemini-live-2.5-flash-native-audio,retail,regular,True,32,8.59,4.2,7.41,1.19,success
gemini:gemini-live-2.5-flash-native-audio,telecom,control,False,91,5.79,2.48,2.16,3.63,failure
gemini:gemini-live-2.5-flash-native-audio,telecom,control,True,23,4.26,2.05,2.04,2.22,success
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,False,96,4.97,2.85,1.66,3.31,failure
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,True,18,5.67,2.61,2.78,2.89,success
openai:gpt-realtime-1.5,airline,control,False,26,8.31,4.4,7.92,0.38,failure
openai:gpt-realtime-1.5,airline,control,True,24,5.21,3.35,4.88,0.33,success
openai:gpt-realtime-1.5,airline,regular,False,30,7.7,4.27,6.47,1.23,failure
openai:gpt-realtime-1.5,airline,regular,True,20,5.15,3.41,4.1,1.05,success
openai:gpt-realtime-1.5,retail,control,False,35,7.8,3.35,7.2,0.6,failure
openai:gpt-realtime-1.5,retail,control,True,79,7.05,2.45,6.8,0.25,success
openai:gpt-realtime-1.5,retail,control_accents,False,47,6.28,3.37,5.6,0.68,failure
openai:gpt-realtime-1.5,retail,control_accents,True,67,6.72,2.57,6.43,0.28,success
openai:gpt-realtime-1.5,retail,control_audio,False,40,7.08,3.68,6.32,0.75,failure
openai:gpt-realtime-1.5,retail,control_audio,True,74,7.0,2.39,6.7,0.3,success
openai:gpt-realtime-1.5,retail,control_behavior,False,50,6.92,2.95,6.28,0.64,failure
openai:gpt-realtime-1.5,retail,control_behavior,True,64,6.45,2.2,6.17,0.28,success
openai:gpt-realtime-1.5,retail,regular,False,64,5.38,3.57,4.42,0.95,failure
openai:gpt-realtime-1.5,retail,regular,True,50,7.02,2.45,6.54,0.48,success
openai:gpt-realtime-1.5,telecom,control,False,82,2.89,1.76,2.62,0.27,failure
openai:gpt-realtime-1.5,telecom,control,True,32,4.09,3.03,3.88,0.22,success
openai:gpt-realtime-1.5,telecom,regular,False,90,3.74,2.23,2.73,1.01,failure
openai:gpt-realtime-1.5,telecom,regular,True,24,3.75,2.35,3.21,0.54,success
openai:gpt-realtime-2025-08-28,airline,control,False,28,9.79,6.81,8.61,1.18,failure
openai:gpt-realtime-2025-08-28,airline,control,True,22,6.32,5.86,5.5,0.82,success
openai:gpt-realtime-2025-08-28,airline,regular,False,28,11.04,8.73,8.25,2.79,failure
openai:gpt-realtime-2025-08-28,airline,regular,True,22,6.45,5.28,4.77,1.68,success
openai:gpt-realtime-2025-08-28,retail,control,False,53,7.58,4.05,6.38,1.21,failure
openai:gpt-realtime-2025-08-28,retail,control,True,61,6.89,2.52,6.67,0.21,success
openai:gpt-realtime-2025-08-28,retail,control_accents,False,58,8.12,4.46,6.5,1.62,failure
openai:gpt-realtime-2025-08-28,retail,control_accents,True,56,6.73,2.1,6.3,0.43,success
openai:gpt-realtime-2025-08-28,retail,control_audio,False,60,7.35,3.78,6.07,1.28,failure
openai:gpt-realtime-2025-08-28,retail,control_audio,True,54,7.28,2.85,6.8,0.48,success
openai:gpt-realtime-2025-08-28,retail,control_behavior,False,62,7.89,3.85,6.73,1.16,failure
openai:gpt-realtime-2025-08-28,retail,control_behavior,True,52,7.08,3.0,6.67,0.4,success
openai:gpt-realtime-2025-08-28,retail,regular,False,76,6.67,3.66,5.12,1.55,failure
openai:gpt-realtime-2025-08-28,retail,regular,True,38,7.24,2.82,6.34,0.89,success
openai:gpt-realtime-2025-08-28,telecom,control,False,86,8.95,4.31,3.95,5.0,failure
openai:gpt-realtime-2025-08-28,telecom,control,True,28,8.5,4.11,6.18,2.32,success
openai:gpt-realtime-2025-08-28,telecom,regular,False,85,7.8,4.06,2.73,5.07,failure
openai:gpt-realtime-2025-08-28,telecom,regular,True,29,9.72,3.59,6.03,3.69,success
xai:xai-realtime,airline,control,False,27,6.26,3.59,3.81,2.44,failure
xai:xai-realtime,airline,control,True,23,6.0,2.84,3.3,2.7,success
xai:xai-realtime,airline,regular,False,32,4.56,3.43,1.38,3.19,failure
xai:xai-realtime,airline,regular,True,18,4.67,3.36,1.72,2.94,success
xai:xai-realtime,retail,control,False,59,6.07,3.37,4.58,1.49,failure
xai:xai-realtime,retail,control,True,55,6.84,2.46,6.31,0.53,success
xai:xai-realtime,retail,control_accents,False,81,4.79,3.53,2.78,2.01,failure
xai:xai-realtime,retail,control_accents,True,33,6.85,2.33,5.82,1.03,success
xai:xai-realtime,retail,control_audio,False,63,5.59,3.47,4.4,1.19,failure
xai:xai-realtime,retail,control_audio,True,51,6.71,1.99,5.88,0.82,success
xai:xai-realtime,retail,control_behavior,False,56,4.84,3.67,3.82,1.02,failure
xai:xai-realtime,retail,control_behavior,True,58,7.48,2.79,6.53,0.95,success
xai:xai-realtime,retail,regular,False,72,4.78,4.12,2.79,1.99,failure
xai:xai-realtime,retail,regular,True,42,7.98,2.88,6.21,1.76,success
xai:xai-realtime,telecom,control,False,48,5.4,3.45,4.94,0.46,failure
xai:xai-realtime,telecom,control,True,66,4.88,3.8,4.53,0.35,success
xai:xai-realtime,telecom,regular,False,68,3.35,3.55,2.31,1.04,failure
