domain,n_tasks,provider,model,control,regular,delta,delta_relative
All,278,Google,Gemini 2.5 Flash,0.3067836257309941,0.25204678362573096,-0.05473684210526314,-0.17842165459397633
All,278,OpenAI,GPT Realtime 1.5,0.48456140350877197,0.34970760233918124,-0.13485380116959073,-0.2783007482500605
All,278,xAI,xAI Realtime,0.5071345029239765,0.37730994152046776,-0.1298245614035088,-0.2559963099630997
retail,114,Google,Gemini 2.5 Flash,0.4385964912280701,0.2982456140350877,-0.1403508771929824,-0.3199999999999999
retail,114,OpenAI,GPT Realtime 1.5,0.6929824561403509,0.4385964912280701,-0.2543859649122808,-0.3670886075949369
retail,114,xAI,xAI Realtime,0.4824561403508772,0.3684210526315789,-0.11403508771929827,-0.23636363636363641
airline,50,Google,Gemini 2.5 Flash,0.28,0.3,0.019999999999999962,0.07142857142857129
airline,50,OpenAI,GPT Realtime 1.5,0.48,0.4,-0.07999999999999996,-0.1666666666666666
airline,50,xAI,xAI Realtime,0.46,0.36,-0.10000000000000003,-0.21739130434782614
telecom,114,Google,Gemini 2.5 Flash,0.2017543859649122,0.1578947368421052,-0.04385964912280699,-0.21739130434782603
telecom,114,OpenAI,GPT Realtime 1.5,0.2807017543859649,0.2105263157894736,-0.07017543859649131,-0.2500000000000003
telecom,114,xAI,xAI Realtime,0.5789473684210527,0.4035087719298245,-0.17543859649122817,-0.3030303030303032
