action_name,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),OVERALL
calculate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07692307692307693,0.09090909090909091,0.0,0.0,0.0,0.016129032258064516
get_item_details,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128
enable_roaming,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.05714285714285714,0.8823529411764706,0.0,0.0,0.0,0.8333333333333334,0.14124293785310735
book_reservation,0.1,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.14814814814814814
search_direct_flight,0.21052631578947367,0.0,0.0,0.0,0.15,0.35,0.0,0.0,0.0,0.11764705882352941,0.1,0.0,0.0,0.0,0.058823529411764705,0.168141592920354
refuel_data,0.02040816326530612,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.16666666666666666,0.8636363636363636,0.0,0.0,0.0,0.7,0.18181818181818182
update_reservation_flights,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.5789473684210527,0.3157894736842105,0.0,0.0,0.0,0.07692307692307693,0.2727272727272727
update_reservation_passengers,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.29411764705882354
update_reservation_baggages,0.25,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3333333333333333
modify_pending_order_items,0.41025641025641024,0.38461538461538464,0.41025641025641024,0.5526315789473685,0.28205128205128205,0.5897435897435898,0.631578947368421,0.7631578947368421,0.48484848484848486,0.42857142857142855,0.5517241379310345,0.3684210526315789,0.5555555555555556,0.5,0.4838709677419355,0.4951644100580271
cancel_reservation,0.45454545454545453,0.0,0.0,0.0,0.5454545454545454,0.7272727272727273,0.0,0.0,0.0,0.8181818181818182,0.3,0.0,0.0,0.0,0.1111111111111111,0.5079365079365079
modify_pending_order_address,0.4166666666666667,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.2916666666666667,0.6666666666666666,0.7083333333333334,0.6956521739130435,0.5652173913043478,0.7142857142857143,0.6,0.08333333333333333,0.3684210526315789,0.34782608695652173,0.4,0.513677811550152
exchange_delivered_order_items,0.37142857142857144,0.45714285714285713,0.22857142857142856,0.37142857142857144,0.2857142857142857,0.9428571428571428,0.7575757575757576,0.7272727272727273,0.6,0.6,0.5666666666666667,0.47619047619047616,0.6,0.75,0.4,0.5427974947807933
return_delivered_order_items,0.5853658536585366,0.6585365853658537,0.7317073170731707,0.5853658536585366,0.2682926829268293,0.8048780487804879,0.7073170731707317,0.6842105263157895,0.5365853658536586,0.39473684210526316,0.56,0.42857142857142855,0.53125,0.55,0.5384615384615384,0.5765765765765766
send_payment_request,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.5882352941176471
get_reservation_details,0.631578947368421,0.0,0.0,0.0,0.47368421052631576,0.9649122807017544,0.0,0.0,0.0,0.8214285714285714,0.38596491228070173,0.0,0.0,0.0,0.2608695652173913,0.6
modify_user_address,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.5454545454545454,0.5,0.6666666666666666,0.4,0.45454545454545453,0.7,0.60625
resume_line,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.6176470588235294
get_product_details,0.5185185185185185,0.6111111111111112,0.42592592592592593,0.6481481481481481,0.5185185185185185,0.8333333333333334,0.7037037037037037,0.7222222222222222,0.7551020408163265,0.6666666666666666,0.6382978723404256,0.48484848484848486,0.7567567567567568,0.5576923076923077,0.6976744186046512,0.6358768406961178
find_user_id_by_email,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.7857142857142857,0.5714285714285714,0.9285714285714286,0.5384615384615384,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.1,0.2,0.0,0.6428571428571429,0.2857142857142857,0.6595744680851063
find_user_id_by_name_zip,0.7049180327868853,0.6557377049180327,0.5737704918032787,0.7049180327868853,0.5737704918032787,0.8524590163934426,0.75,0.819672131147541,0.7966101694915254,0.6557377049180327,0.5555555555555556,0.5238095238095238,0.5625,0.6724137931034483,0.4791666666666667,0.6662777129521587
cancel_pending_order,0.6,0.68,0.64,0.76,0.48,1.0,0.875,0.875,0.76,0.72,0.7,0.2222222222222222,0.4666666666666667,0.6086956521739131,0.47058823529411764,0.6744868035190615
get_order_details,0.6845238095238095,0.7142857142857143,0.7083333333333334,0.7857142857142857,0.5476190476190477,0.8988095238095238,0.7440476190476191,0.8214285714285714,0.8375,0.7083333333333334,0.6090225563909775,0.5315315315315315,0.6850393700787402,0.6580645161290323,0.6037735849056604,0.7109375
modify_pending_order_payment,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857143
get_user_details,0.8028169014084507,0.7719298245614035,0.6842105263157895,0.8070175438596491,0.647887323943662,0.9436619718309859,0.8035714285714286,0.9122807017543859,0.9074074074074074,0.7887323943661971,0.5573770491803278,0.6153846153846154,0.75,0.7962962962962963,0.5357142857142857,0.7591324200913242
transfer_to_human_agents,0.96,1.0,0.75,0.75,0.8333333333333334,0.7916666666666666,0.5,0.75,0.75,0.64,0.7727272727272727,0.5,0.75,0.75,0.8260869565217391,0.7877094972067039
