llm,domain,speech_complexity,action_name,num_calls,num_errors,success_rate
gemini:gemini-live-2.5-flash-native-audio,airline,control,book_reservation,16,13,0.1875
gemini:gemini-live-2.5-flash-native-audio,airline,control,calculate,12,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,control,cancel_reservation,25,10,0.6
gemini:gemini-live-2.5-flash-native-audio,airline,control,get_flight_status,1007,1,0.9990069513406157
gemini:gemini-live-2.5-flash-native-audio,airline,control,get_reservation_details,77,2,0.974025974025974
gemini:gemini-live-2.5-flash-native-audio,airline,control,get_user_details,52,19,0.6346153846153846
gemini:gemini-live-2.5-flash-native-audio,airline,control,list_all_airports,1,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,control,search_direct_flight,37,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,control,search_onestop_flight,19,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,control,send_certificate,2,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,control,transfer_to_human_agents,20,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,control,update_reservation_baggages,1,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,control,update_reservation_flights,46,38,0.17391304347826086
gemini:gemini-live-2.5-flash-native-audio,airline,control,update_reservation_passengers,2,2,0.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,book_reservation,6,3,0.5
gemini:gemini-live-2.5-flash-native-audio,airline,regular,calculate,2,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,cancel_reservation,30,7,0.7666666666666666
gemini:gemini-live-2.5-flash-native-audio,airline,regular,get_flight_status,11,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,get_reservation_details,70,7,0.9
gemini:gemini-live-2.5-flash-native-audio,airline,regular,get_user_details,60,25,0.5833333333333333
gemini:gemini-live-2.5-flash-native-audio,airline,regular,search_direct_flight,64,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,search_onestop_flight,180,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,send_certificate,3,1,0.6666666666666667
gemini:gemini-live-2.5-flash-native-audio,airline,regular,transfer_to_human_agents,17,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,update_reservation_baggages,2,0,1.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,update_reservation_flights,24,23,0.04166666666666663
gemini:gemini-live-2.5-flash-native-audio,airline,regular,update_reservation_passengers,2,2,0.0
gemini:gemini-live-2.5-flash-native-audio,retail,control,cancel_pending_order,23,2,0.9130434782608696
gemini:gemini-live-2.5-flash-native-audio,retail,control,exchange_delivered_order_items,28,10,0.6428571428571428
gemini:gemini-live-2.5-flash-native-audio,retail,control,find_user_id_by_email,45,23,0.48888888888888893
gemini:gemini-live-2.5-flash-native-audio,retail,control,find_user_id_by_name_zip,124,51,0.5887096774193548
gemini:gemini-live-2.5-flash-native-audio,retail,control,get_item_details,12,4,0.6666666666666667
gemini:gemini-live-2.5-flash-native-audio,retail,control,get_order_details,286,10,0.965034965034965
gemini:gemini-live-2.5-flash-native-audio,retail,control,get_product_details,66,2,0.9696969696969697
gemini:gemini-live-2.5-flash-native-audio,retail,control,get_user_details,84,2,0.9761904761904762
gemini:gemini-live-2.5-flash-native-audio,retail,control,list_all_product_types,16,0,1.0
gemini:gemini-live-2.5-flash-native-audio,retail,control,modify_pending_order_address,15,0,1.0
gemini:gemini-live-2.5-flash-native-audio,retail,control,modify_pending_order_items,41,21,0.4878048780487805
gemini:gemini-live-2.5-flash-native-audio,retail,control,modify_pending_order_payment,1,0,1.0
gemini:gemini-live-2.5-flash-native-audio,retail,control,modify_user_address,7,0,1.0
gemini:gemini-live-2.5-flash-native-audio,retail,control,return_delivered_order_items,46,15,0.6739130434782609
gemini:gemini-live-2.5-flash-native-audio,retail,control,transfer_to_human_agents,31,0,1.0
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,cancel_pending_order,24,1,0.9583333333333334
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,exchange_delivered_order_items,33,12,0.6363636363636364
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,find_user_id_by_email,43,20,0.5348837209302326
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,find_user_id_by_name_zip,119,46,0.6134453781512605
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,get_item_details,7,1,0.8571428571428572
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,get_order_details,294,7,0.9761904761904762
