llm,domain,speech_complexity,provider,user_segment_count,user_total_duration_sec,user_mean_duration_sec,user_interruption_count,user_backchannel_count,agent_segment_count,agent_total_duration_sec,agent_mean_duration_sec,agent_interrupted_count
gemini:gemini-live-2.5-flash-native-audio,airline,control,gemini,420,1446.0,3.442857142857143,1,0,406,3052.2000000000003,7.517733990147784,6
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,556,2635.0,4.739208633093525,138,9,476,2723.6000000000004,5.721848739495799,93
gemini:gemini-live-2.5-flash-native-audio,retail,control,gemini,1019,3528.0,3.462217860647694,1,0,1025,8112.6,7.914731707317073,31
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,gemini,1164,5165.4,4.437628865979381,0,0,1140,8464.6,7.425087719298246,53
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,gemini,1288,4316.8,3.351552795031056,1,0,1111,8534.800000000001,7.6820882088208835,60
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,gemini,1172,3986.8,3.4017064846416383,308,66,1058,7395.200000000001,6.989792060491494,133
gemini:gemini-live-2.5-flash-native-audio,retail,regular,gemini,1492,6529.000000000001,4.376005361930296,262,34,1197,7226.000000000001,6.036758563074353,163
gemini:gemini-live-2.5-flash-native-audio,telecom,control,gemini,1206,5150.4,4.270646766169154,0,0,1223,7388.800000000001,6.041537203597711,50
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,gemini,1495,7419.6,4.962943143812709,236,2,1364,6825.0,5.00366568914956,203
openai:gpt-realtime-1.5,airline,control,openai,367,1606.8000000000002,4.378201634877385,4,0,358,8641.400000000001,24.137988826815647,0
openai:gpt-realtime-1.5,airline,regular,openai,748,3720.8,4.974331550802139,539,44,876,7823.0,8.930365296803654,0
openai:gpt-realtime-1.5,retail,control,openai,965,4017.4000000000005,4.163108808290156,5,0,953,21123.4,22.165162644281217,0
openai:gpt-realtime-1.5,retail,control_accents,openai,946,5418.200000000001,5.727484143763214,3,0,938,20899.4,22.28081023454158,0
openai:gpt-realtime-1.5,retail,control_audio,openai,980,4099.2,4.182857142857142,98,0,1128,20967.2,18.587943262411347,0
openai:gpt-realtime-1.5,retail,control_behavior,openai,1712,5640.6,3.2947429906542056,1203,109,1886,20165.8,10.69236479321315,0
openai:gpt-realtime-1.5,retail,regular,openai,1572,7511.0,4.777989821882952,1078,91,1873,18753.000000000004,10.012279765082758,0
openai:gpt-realtime-1.5,telecom,control,openai,1529,7408.6,4.84538914323087,1,0,1514,21749.2,14.365389696169089,0
openai:gpt-realtime-1.5,telecom,regular,openai,2606,14967.400000000001,5.743438219493477,1820,32,3062,21999.2,7.184585238406271,0
openai:gpt-realtime-2025-08-28,airline,control,openai,341,1598.2,4.686803519061583,8,0,311,7062.200000000001,22.708038585209007,0
openai:gpt-realtime-2025-08-28,airline,regular,openai,552,3106.4000000000005,5.627536231884059,341,39,625,5218.200000000001,8.349120000000001,0
openai:gpt-realtime-2025-08-28,retail,control,openai,784,3592.4,4.582142857142857,7,0,746,15563.8,20.863002680965145,0
openai:gpt-realtime-2025-08-28,retail,control_accents,openai,811,4983.400000000001,6.144759556103576,11,0,783,14734.0,18.81736909323116,0
openai:gpt-realtime-2025-08-28,retail,control_audio,openai,816,3796.8,4.652941176470589,51,0,879,14679.6,16.70034129692833,0
openai:gpt-realtime-2025-08-28,retail,control_behavior,openai,1065,3862.6,3.6268544600938966,595,87,1108,10300.800000000001,9.296750902527076,0
openai:gpt-realtime-2025-08-28,retail,regular,openai,1249,6307.800000000001,5.050280224179344,779,75,1389,11261.4,8.10755939524838,0
openai:gpt-realtime-2025-08-28,telecom,control,openai,1519,6504.8,4.282290980908493,6,0,1464,24334.2,16.62172131147541,0
openai:gpt-realtime-2025-08-28,telecom,regular,openai,2244,12035.2,5.3632798573975045,1442,39,2596,18852.4,7.2620955315870575,0
xai:xai-realtime,airline,control,xai,436,2443.2000000000003,5.603669724770643,0,0,577,10975.6,19.021837088388217,128
xai:xai-realtime,airline,regular,xai,1348,6580.6,4.881750741839763,929,11,1590,9596.6,6.03559748427673,1144
xai:xai-realtime,retail,control,xai,1451,5604.200000000001,3.8623018607856654,0,0,1507,32823.600000000006,21.780756469807567,211
xai:xai-realtime,retail,control_accents,xai,1981,10336.0,5.217566885411409,1,0,2367,34828.600000000006,14.7142374313477,578
xai:xai-realtime,retail,control_audio,xai,1767,6282.6,3.5555178268251275,0,0,1768,33611.0,19.01074660633484,273
xai:xai-realtime,retail,control_behavior,xai,1969,5984.0,3.0391061452513966,990,85,2012,25396.200000000004,12.622365805168988,1306
xai:xai-realtime,retail,regular,xai,3414,14101.2,4.130404217926187,2191,61,3815,29717.0,7.789515072083879,2645
xai:xai-realtime,telecom,control,xai,2070,11841.600000000002,5.7205797101449285,0,0,2750,32919.40000000001,11.970690909090912,517
xai:xai-realtime,telecom,regular,xai,4328,22907.0,5.292744916820703,2730,17,5775,29193.600000000002,5.055168831168832,3915
