llm,domain,speech_complexity,provider,simulation_id,task_id,user_speech_start_tick,user_speech_start_time_sec,user_speech_duration_ticks,user_speech_duration_sec
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,8f341da4-a879-4a3a-92f8-637b26bff048,0,26,5.2,28,5.6000000000000005
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,8f341da4-a879-4a3a-92f8-637b26bff048,0,80,16.0,27,5.4
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,8f341da4-a879-4a3a-92f8-637b26bff048,0,133,26.6,10,2.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,8f341da4-a879-4a3a-92f8-637b26bff048,0,177,35.4,4,0.8
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,8f341da4-a879-4a3a-92f8-637b26bff048,0,243,48.6,42,8.4
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,8f341da4-a879-4a3a-92f8-637b26bff048,0,329,65.8,10,2.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,8f341da4-a879-4a3a-92f8-637b26bff048,0,373,74.60000000000001,1,0.2
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,5910cbcc-e0b2-4bc0-a2b0-aac06fcc2899,5,26,5.2,78,15.600000000000001
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,5910cbcc-e0b2-4bc0-a2b0-aac06fcc2899,5,130,26.0,22,4.4
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,5910cbcc-e0b2-4bc0-a2b0-aac06fcc2899,5,178,35.6,40,8.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,5910cbcc-e0b2-4bc0-a2b0-aac06fcc2899,5,277,55.400000000000006,24,4.800000000000001
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,5910cbcc-e0b2-4bc0-a2b0-aac06fcc2899,5,327,65.4,28,5.6000000000000005
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,5910cbcc-e0b2-4bc0-a2b0-aac06fcc2899,5,399,79.80000000000001,48,9.600000000000001
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,7030fdcc-dd31-4eb6-babd-4dbc8b5b1bed,3,26,5.2,35,7.0
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,7030fdcc-dd31-4eb6-babd-4dbc8b5b1bed,3,102,20.400000000000002,56,11.200000000000001
gemini:gemini-live-2.5-flash-native-audio,airline,regular,gemini,7030fdcc-dd31-4eb6-babd-4dbc8b5b1bed,3,195,39.0,19,3.8000000000000003
