error_category,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),gpt-realtime-2025-08 (control),gpt-realtime-2025-08 (control_accents),gpt-realtime-2025-08 (control_audio),gpt-realtime-2025-08 (control_behavior),gpt-realtime-2025-08 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),TOTAL
Error: User not found,76,68,96,91,122,20,36,32,28,67,37,74,64,49,107,97,185,108,95,183,1635
Error: Tool 'check_network_status' not found.,28,0,0,0,30,0,0,0,0,0,92,0,0,0,74,0,0,0,0,0,224
Error: Tool 'set_network_mode_preference' not found.,41,0,0,0,33,4,0,0,0,25,43,0,0,0,63,0,0,0,0,0,209
Error: Tool 'can_send_mms' not found.,24,0,0,0,20,0,0,0,0,1,52,0,0,0,45,0,0,0,0,0,142
Error: Tool 'run_speed_test' not found.,35,0,0,0,32,0,0,0,0,2,32,0,0,0,41,0,0,0,0,0,142
Error: Tool 'toggle_airplane_mode' not found.,48,0,0,0,41,4,0,0,0,3,12,0,0,0,18,0,0,0,0,0,126
Error: Tool 'check_status_bar' not found.,11,0,0,0,16,1,0,0,0,2,45,0,0,0,50,0,0,0,0,0,125
Error: Tool 'reset_apn_settings' not found.,36,0,0,0,30,0,0,0,0,14,18,0,0,0,25,0,0,0,0,0,123
Error: Tool 'reseat_sim_card' not found.,13,0,0,0,14,7,0,0,0,7,35,0,0,0,32,0,0,0,0,0,108
Error: Tool 'check_sim_status' not found.,22,0,0,0,24,1,0,0,0,0,35,0,0,0,26,0,0,0,0,0,108
Error: Tool 'toggle_data' not found.,38,0,0,0,30,1,0,0,0,2,21,0,0,0,11,0,0,0,0,0,103
Error: Order not found,11,8,18,7,9,0,0,2,0,2,0,0,0,0,2,5,6,5,1,22,98
Error: Tool 'check_apn_settings' not found.,23,0,0,0,16,0,0,0,0,3,27,0,0,0,24,0,0,0,0,0,93
Error: Payment method should be the original payment method,8,9,8,6,4,4,3,3,2,2,5,6,5,3,3,3,2,2,5,2,85
Error: Non-delivered order cannot be exchanged,5,1,13,3,6,3,2,2,3,0,4,6,8,8,12,0,1,0,0,1,78
Error: Tool 'check_network_mode_preference' not found.,1,0,0,0,4,0,0,0,0,0,23,0,0,0,26,0,0,0,0,0,54
Missing positional arguments,0,0,0,0,0,0,2,0,1,10,5,2,5,6,20,0,0,0,0,0,51
Error: Tool 'check_app_permissions' not found.,9,0,0,0,9,0,0,0,0,1,12,0,0,0,16,0,0,0,0,0,47
Error: Non-delivered order cannot be returned,4,9,5,6,3,0,0,1,0,1,4,4,2,2,3,1,0,1,1,0,47
Error: Variant not found,3,9,1,5,1,2,1,0,0,1,1,0,2,9,6,0,0,0,1,0,42
"Error: 1 validation error for FlightInfo
date
  Field requir",27,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Error: The number of items to be exchanged should match,3,3,0,4,3,2,0,1,2,0,6,8,4,1,1,0,0,0,0,0,38
Error: Item not found,3,1,4,0,1,0,0,2,1,1,0,0,2,2,0,7,2,0,2,6,34
Error: Tool 'check_wifi_calling_status' not found.,3,0,0,0,2,0,0,0,0,0,21,0,0,0,8,0,0,0,0,0,34
Error: Non-pending order cannot be modified,5,6,3,4,5,0,0,0,0,0,2,3,0,2,3,0,0,0,0,0,33
Error: Tool 'toggle_data_saver_mode' not found.,15,0,0,0,9,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,32
"Error: 2 validation errors for FlightInfo
flight_number
  Fi",21,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Error: Customer with phone number 555-123-0002 not found,0,0,0,0,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,1,28
Error: Tool 'reboot_device' not found.,7,0,0,0,12,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,26
Error: The new item id should be different from the old item,6,4,0,1,0,1,2,2,1,1,3,1,2,0,1,0,0,0,1,0,26
Error: Customer with phone number 555-123 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0,0,0,7,23
Error: Tool 'check_data_restriction_status' not found.,4,0,0,0,4,0,0,0,0,1,7,0,0,0,6,0,0,0,0,0,22
Error: Non-pending order cannot be cancelled,2,1,7,3,2,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,20
Error: Customer with phone number +1-555-123-2002 not found,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Error: Customer with phone number 5551232002 not found,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,4,19
Error: Tool 'toggle_wifi_calling' not found.,4,0,0,0,3,0,0,0,0,1,3,0,0,0,8,0,0,0,0,0,19
Error: Product not found,1,2,1,1,3,0,0,0,0,0,0,1,2,2,0,2,0,0,1,2,18
Error: User arav_garcia_1177 not found,4,0,0,0,2,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,17
Error: Insufficient gift card balance to pay for the price d,0,1,0,0,1,1,1,1,1,1,1,2,0,1,0,1,0,1,1,1,15
Error: New item 3111466194 not found or available,0,1,0,0,0,2,2,2,2,1,1,1,2,1,0,0,0,0,0,0,15
Error: User Sophia_Silva_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,15
Error: Customer with phone number unknown not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,14
Error: User arav_ahmed_6699 not found,0,0,0,0,2,2,0,0,0,4,5,0,0,0,1,0,0,0,0,0,14
Error: Tool 'disconnect_vpn' not found.,2,0,0,0,3,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,14
Error: 1355937109 not found,1,2,0,0,1,1,0,0,4,0,1,1,1,1,0,0,0,0,0,0,13
Error: User sofia_silva_7557 not found,0,0,0,0,0,1,0,0,0,3,3,0,0,0,5,0,0,0,0,0,12
