domain,provider,model,latency,responsiveness,interrupt,selectivity
All,Google,gemini-live-2.5-flash-nat,1.0907139236176746,0.6583904231913051,0.2197309814635434,0.5754470999008553
All,OpenAI,gpt-realtime-1.5,0.9039946032294554,0.9994445910334921,0.13540286519099273,0.056160442133543875
All,OpenAI,gpt-realtime-2025-08-28,0.9403715889438552,0.9907284429944506,0.13422927171276713,0.06626020594974395
All,xAI,xai-realtime,1.1510989934814788,0.8326281194006044,0.8429014444073495,0.5745890908582297
retail,Google,gemini-live-2.5-flash-nat,1.1626447070056092,0.6327954801963306,0.19934906427990237,0.5490618889065061
retail,OpenAI,gpt-realtime-1.5,0.9089941093389371,0.9996554100620262,0.14679531357684356,0.059736381423128426
retail,OpenAI,gpt-realtime-2025-08-28,0.9765545038390686,0.989863516641392,0.11325724319578578,0.07067669172932338
retail,xAI,xai-realtime,1.1456062083997438,0.8035086979605124,0.7738669238187078,0.5855986225643474
airline,Google,gemini-live-2.5-flash-nat,1.092585804132974,0.6886456591213923,0.19088937093275488,0.6124253285543607
airline,OpenAI,gpt-realtime-1.5,0.922693325770467,0.9992743105950654,0.14223512336719885,0.05320648343904159
airline,OpenAI,gpt-realtime-2025-08-28,0.9496356657566861,0.986015962753575,0.1670103092783505,0.06410256410256406
airline,xAI,xai-realtime,1.1504274682846105,0.8395669713746191,0.8252314814814815,0.5667172810692761
telecom,Google,gemini-live-2.5-flash-nat,1.016911259714441,0.6537301302561924,0.26895450917797287,0.5648540822416989
telecom,OpenAI,gpt-realtime-1.5,0.8802963745789616,0.9994040524433849,0.11717815862893582,0.05553846153846154
telecom,OpenAI,gpt-realtime-2025-08-28,0.8949245972358112,0.996305849588385,0.1224202626641651,0.06400136201734434
telecom,xAI,xai-realtime,1.1572633037600824,0.854808688866682,0.9296059279218593,0.5714513689410654
