llm,domain,speech_complexity,success,num_simulations,mean_duration,std_duration,median_duration,outcome
gemini:gemini-live-2.5-flash-native-audio,airline,control,False,36,186.12,83.88,163.41,failure
gemini:gemini-live-2.5-flash-native-audio,airline,control,True,14,118.14,50.36,117.7,success
gemini:gemini-live-2.5-flash-native-audio,airline,regular,False,35,244.84,102.89,249.51,failure
gemini:gemini-live-2.5-flash-native-audio,airline,regular,True,15,219.04,76.21,218.32,success
gemini:gemini-live-2.5-flash-native-audio,retail,control,False,70,198.97,72.74,190.84,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control,True,44,207.51,74.69,195.93,success
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,False,62,222.58,81.55,221.15,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,True,52,216.98,65.8,215.3,success
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,False,74,205.74,90.43,195.35,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,True,40,235.77,91.5,205.08,success
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,False,67,237.06,94.91,228.4,failure
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,True,47,206.77,73.2,214.49,success
gemini:gemini-live-2.5-flash-native-audio,retail,regular,False,82,304.62,124.42,303.22,failure
gemini:gemini-live-2.5-flash-native-audio,retail,regular,True,32,295.62,98.76,283.97,success
gemini:gemini-live-2.5-flash-native-audio,telecom,control,False,91,246.95,102.34,233.68,failure
gemini:gemini-live-2.5-flash-native-audio,telecom,control,True,23,168.74,63.43,155.49,success
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,False,96,299.42,118.35,296.6,failure
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,True,18,280.08,73.79,272.65,success
openai:gpt-realtime-1.5,airline,control,False,26,366.85,145.42,360.38,failure
openai:gpt-realtime-1.5,airline,control,True,24,272.56,113.58,262.27,success
openai:gpt-realtime-1.5,airline,regular,False,30,623.58,329.23,591.65,failure
openai:gpt-realtime-1.5,airline,regular,True,20,538.68,241.68,525.56,success
openai:gpt-realtime-1.5,retail,control,False,35,416.11,155.01,367.63,failure
openai:gpt-realtime-1.5,retail,control,True,79,351.5,133.64,342.49,success
openai:gpt-realtime-1.5,retail,control_accents,False,47,384.8,170.38,363.4,failure
openai:gpt-realtime-1.5,retail,control_accents,True,67,344.02,129.47,325.88,success
openai:gpt-realtime-1.5,retail,control_audio,False,40,381.52,159.18,374.4,failure
openai:gpt-realtime-1.5,retail,control_audio,True,74,333.86,121.1,314.5,success
openai:gpt-realtime-1.5,retail,control_behavior,False,50,740.92,373.05,654.0,failure
openai:gpt-realtime-1.5,retail,control_behavior,True,64,543.4,252.96,487.78,success
openai:gpt-realtime-1.5,retail,regular,False,64,646.01,390.64,513.17,failure
