llm,domain,speech_complexity,termination_reason,count,total,proportion
gemini:gemini-live-2.5-flash-native-audio,airline,control,agent_stop,20,50,0.4
gemini:gemini-live-2.5-flash-native-audio,airline,control,too_many_errors,3,50,0.06
gemini:gemini-live-2.5-flash-native-audio,airline,control,user_stop,27,50,0.54
gemini:gemini-live-2.5-flash-native-audio,airline,regular,agent_stop,17,50,0.34
gemini:gemini-live-2.5-flash-native-audio,airline,regular,too_many_errors,1,50,0.02
gemini:gemini-live-2.5-flash-native-audio,airline,regular,user_stop,32,50,0.64
gemini:gemini-live-2.5-flash-native-audio,retail,control,agent_stop,31,114,0.2719
gemini:gemini-live-2.5-flash-native-audio,retail,control,user_stop,83,114,0.7281
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,agent_stop,30,114,0.2632
gemini:gemini-live-2.5-flash-native-audio,retail,control_accents,user_stop,84,114,0.7368
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,agent_stop,31,114,0.2719
gemini:gemini-live-2.5-flash-native-audio,retail,control_audio,user_stop,83,114,0.7281
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,agent_stop,23,114,0.2018
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,too_many_errors,1,114,0.0088
gemini:gemini-live-2.5-flash-native-audio,retail,control_behavior,user_stop,90,114,0.7895
gemini:gemini-live-2.5-flash-native-audio,retail,regular,agent_stop,28,114,0.2456
gemini:gemini-live-2.5-flash-native-audio,retail,regular,user_stop,86,114,0.7544
gemini:gemini-live-2.5-flash-native-audio,telecom,control,agent_stop,103,114,0.9035
gemini:gemini-live-2.5-flash-native-audio,telecom,control,too_many_errors,4,114,0.0351
gemini:gemini-live-2.5-flash-native-audio,telecom,control,user_stop,7,114,0.0614
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,agent_stop,96,114,0.8421
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,too_many_errors,4,114,0.0351
gemini:gemini-live-2.5-flash-native-audio,telecom,regular,user_stop,14,114,0.1228
openai:gpt-realtime-1.5,airline,control,agent_stop,6,50,0.12
openai:gpt-realtime-1.5,airline,control,user_stop,44,50,0.88
openai:gpt-realtime-1.5,airline,regular,agent_stop,8,50,0.16
openai:gpt-realtime-1.5,airline,regular,max_steps,2,50,0.04
openai:gpt-realtime-1.5,airline,regular,user_stop,40,50,0.8
openai:gpt-realtime-1.5,retail,control,agent_stop,8,114,0.0702
openai:gpt-realtime-1.5,retail,control,user_stop,106,114,0.9298
openai:gpt-realtime-1.5,retail,control_accents,agent_stop,8,114,0.0702
openai:gpt-realtime-1.5,retail,control_accents,max_steps,2,114,0.0175
openai:gpt-realtime-1.5,retail,control_accents,user_stop,104,114,0.9123
openai:gpt-realtime-1.5,retail,control_audio,agent_stop,11,114,0.0965
openai:gpt-realtime-1.5,retail,control_audio,max_steps,2,114,0.0175
openai:gpt-realtime-1.5,retail,control_audio,user_stop,101,114,0.886
openai:gpt-realtime-1.5,retail,control_behavior,agent_stop,5,114,0.0439
openai:gpt-realtime-1.5,retail,control_behavior,max_steps,4,114,0.0351
openai:gpt-realtime-1.5,retail,control_behavior,user_stop,105,114,0.9211
openai:gpt-realtime-1.5,retail,regular,agent_stop,4,114,0.0351
openai:gpt-realtime-1.5,retail,regular,max_steps,3,114,0.0263
openai:gpt-realtime-1.5,retail,regular,user_stop,107,114,0.9386
openai:gpt-realtime-1.5,telecom,control,agent_stop,86,114,0.7544
openai:gpt-realtime-1.5,telecom,control,max_steps,1,114,0.0088
openai:gpt-realtime-1.5,telecom,control,user_stop,27,114,0.2368
openai:gpt-realtime-1.5,telecom,regular,agent_stop,75,114,0.6579
openai:gpt-realtime-1.5,telecom,regular,max_steps,13,114,0.114
openai:gpt-realtime-1.5,telecom,regular,user_stop,26,114,0.2281
openai:gpt-realtime-2025-08-28,airline,control,agent_stop,10,50,0.2
openai:gpt-realtime-2025-08-28,airline,control,max_steps,2,50,0.04
openai:gpt-realtime-2025-08-28,airline,control,too_many_errors,1,50,0.02
openai:gpt-realtime-2025-08-28,airline,control,user_stop,37,50,0.74
